candidate_id,resolved_market_group,selection_reason,phase257_policy_bucket,phase257_visual_verdict,market_group_bias_risk,visual_quality_score,prominence_verdict,ewo_verdict,ema_htf_verdict,notes,chart_path
impulse_exp252_index_aus200_h4_major_impulse_016,Index,ewo_support_case,usable_provisional_structure,policy_correct,low,4,prominence_ok,ewo_supports,not_applicable,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\011_impulse_exp252_index_aus200_h4_major_impulse_016.png
hard_invalid_exp257_index_aus200_h4_minor_impulse_001,Index,ema_htf_conflict_or_misleading,exclude_from_guided_search,policy_correct,low,2,not_applicable,ewo_unclear,ema_htf_misleading,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\012_hard_invalid_exp257_index_aus200_h4_minor_impulse_001.png
impulse_exp252_index_aus200_h4_minor_impulse_028,Index,low_prominence_case,exclude_from_guided_search,policy_correct,medium,2,low_prominence_confirmed,ewo_supports,not_applicable,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\013_impulse_exp252_index_aus200_h4_minor_impulse_028.png
impulse_exp252_metals_xagusd_h4_major_impulse_002,Metals,best_usable_provisional,usable_provisional_structure,policy_correct,low,4,prominence_ok,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\014_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,Metals,watchlist_low_prominence,visual_watchlist_low_prominence,needs_percentile_normalization,medium,2,low_prominence_confirmed,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\015_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png
impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,Metals,auxiliary_low_prominence,auxiliary_low_prominence_substructure,group_specific_behavior,medium,3,needs_group_percentile,ewo_unclear,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\016_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png
impulse_exp257_metals_xageurr_h4_minor_impulse_012,Metals,excluded_near_threshold,exclude_from_guided_search,needs_percentile_normalization,medium,2,low_prominence_confirmed,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\017_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png
impulse_aux252b_metals_xagusd_h1_major_impulse_025,Metals,ewo_support_case,auxiliary_substructure,group_specific_behavior,medium,3,not_applicable,ewo_supports,not_applicable,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\018_impulse_aux252b_metals_xagusd_h1_major_impulse_025.png
hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001,Metals,ema_htf_conflict_or_misleading,exclude_from_guided_search,policy_correct,low,2,not_applicable,ewo_unclear,ema_htf_misleading,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\019_hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001.png
impulse_exp252_metals_xagusd_h4_minor_impulse_004,Metals,low_prominence_case,exclude_from_guided_search,needs_percentile_normalization,medium,2,low_prominence_confirmed,ewo_supports,ema_htf_supports,Visual gallery selected for manual/agent audit; verdict is methodological and non-operational.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\020_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
