candidate_id,chart_path,chart_path,review_category,symbol,timeframe,swing_degree,direction,trend_context_label,context_score,visual_review_status,visual_quality_score,visual_quality_raw,ema_context_usefulness,ewo_context_usefulness,htf_ltf_context_usefulness,inferred_wave_role_from_ewo,likely_problem_if_any,should_user_review,user_review_priority,suggested_action,visual_notes,ewo_rule_assessment,review_trigger,candidate_order
impulse_index_aus200_h1_major_impulse_010,charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png,charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png,impulse,AUS200,H1,major,bearish,impulse_with_htf,85,ambiguous,3,58,partially_useful,useful_for_momentum_only,useful,bearish lower-high sequence inside congestion,too small and choppy for major impulse status,yes,high,inspect_manually_before_phase_2_5,This looks more like a late corrective subdivision after the main drop than a standalone major impulse. EMAs are bearish but the waves are compressed and overlapping.,too_noisy,,11
impulse_index_hk50_m30_major_impulse_003,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,impulse,HK50,M30,major,bearish,impulse_with_htf,65,plausible_but_needs_review,4,64,partially_useful,useful_for_wave_role,useful,bearish correction after EWO positive climax,bearish count starts immediately after strong bullish thrust,yes,medium,inspect_manually_before_phase_2_5,The 0-5 decline is readable but it follows a powerful bullish move and looks more corrective than impulsive. EWO helps identify momentum rollover not a rule-grade bearish impulse by itself.,promising_but_needs_review,,12
partial_123_forex_audjpy_h1_intermediate_partial123_009,charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png,charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png,partial_123,AUDJPY.r,H1,intermediate,bullish,impulse_with_htf,85,visually_defensible,5,84,useful,useful_for_wave_role,useful,bullish 1-2-3 launch with rising EWO,no major issue,yes,medium,keep_as_good_example,Clean bullish partial: 0-1-2 forms a base near EMAs and 3 starts the breakout leg. EWO turns positive and keeps expanding after the 2 low.,usable_soft_rule,top_positive_methodology_example,13
partial_123_metals_xagusd_h1_intermediate_partial123_003,charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png,charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png,partial_123,XAGUSD.r,H1,intermediate,bearish,correction_against_htf,60,visually_defensible,5,87,useful,useful_for_wave_role,conflict_explains_case,bearish 1-2-3 crash with strong EWO confirmation,HTF conflict but visually strong,yes,medium,possible_rule_candidate,Very strong bearish partial: 0 top 1 selloff 2 rebound 3 capitulation low. EWO supports the role clearly; use as a counter-HTF but visually high-quality example.,usable_soft_rule,context_contradiction_but_visual_good,14
partial_123_index_aus200_h1_intermediate_partial123_001,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,partial_123,AUS200,H1,intermediate,bullish,impulse_with_htf,85,visually_forced,3,46,partially_useful,useful_for_momentum_only,useful,small bullish push near prior high,partial 1-2-3 is tiny and precedes a large bearish reversal,yes,high,use_as_negative_example,Bullish partial is too local and shallow relative to the surrounding structure. EMAs and HTF are bullish but the subsequent collapse makes the visual candidate weak for rule discovery.,too_noisy,,15
partial_123_forex_audjpy_h1_intermediate_partial123_011,charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png,charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png,partial_123,AUDJPY.r,H1,intermediate,bullish,impulse_with_htf,65,visually_defensible,5,83,useful,useful_for_wave_role,useful,bullish partial with extended wave 3,third leg may be overextended but direction is clear,no,low,keep_as_good_example,Good bullish partial where 3 captures the breakout to the rally high. EMA alignment and EWO expansion make the context genuinely useful.,usable_soft_rule,,16
partial_123_forex_audjpy_h1_minor_partial123_007,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,partial_123,AUDJPY.r,H1,minor,bullish,conflict_with_htf,60,ambiguous,3,57,not_useful,useful_for_momentum_only,conflict_suspicious,bullish rebound inside choppy correction,EMA label conflicts with actual flat-to-bearish local structure,yes,high,inspect_manually_before_phase_2_5,The 0-1-2-3 shape exists but it is embedded in messy post-drop consolidation and the EMA context is not convincing. EWO confirms a bounce more than a robust wave role.,too_noisy,conflict_with_htf,17
partial_123_metals_xagusd_h1_minor_partial123_002,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,partial_123,XAGUSD.r,H1,minor,bullish,impulse_with_htf,65,plausible_but_needs_review,4,62,partially_useful,useful_for_wave_role,useful,bullish 1-2-3 into blowoff high,wave 3 is too large relative to tiny 1-2 base,yes,medium,inspect_manually_before_phase_2_5,Bullish direction and EWO support are real but the count stretches a small early 1-2 into a very large third wave ending at the prior major peak. Useful for review risky as automatic rule evidence.,promising_but_needs_review,,18
partial_123_index_aus200_h1_minor_partial123_001,charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,partial_123,AUS200,H1,minor,bullish,impulse_with_htf,85,plausible_but_needs_review,3,55,partially_useful,useful_for_momentum_only,conflict_suspicious,late_minor_bullish_exhaustion_before_bearish_reversal,wave 3 is only marginally above wave 1 and candidate sits at local top before strong selloff,yes,medium,inspect_manually_before_phase_2_5,Small bullish 1-2-3 is visible above both EMAs but candles immediately roll into a much larger bearish leg; useful as exhaustion case more than clean continuation.,too_noisy,,19
partial_123_forex_audjpy_h1_minor_partial123_013,charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png,charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png,partial_123,AUDJPY.r,H1,minor,bullish,impulse_with_htf,85,visually_defensible,5,82,useful,useful_for_wave_role,useful,bullish_momentum_expansion_after_base,minor 1 is small but structure resolves cleanly into higher high,no,low,keep_as_good_example,Clear basing near flat EMAs shallow 2 then decisive 3 into the later AUDJPY rally; EMA 50/150 and HTF both help explain the continuation.,usable_soft_rule,,20
partial_123_forex_audjpy_h1_major_partial123_007,charts\partials\021_partial_123_forex_audjpy_h1_major_partial123_007.png,charts\partials\021_partial_123_forex_audjpy_h1_major_partial123_007.png,partial_123,AUDJPY.r,H1,major,bullish,impulse_with_htf,65,visually_defensible,4,78,useful,useful_for_wave_role,useful,major_bullish_impulse_leg,wave 0-1 segment is small relative to very extended 2-3 leg,no,low,keep_as_good_example,Major 1-2-3 captures the real bullish expansion from range to trend; EWO turns and expands with the move although the first leg is visually modest.,usable_soft_rule,,21
partial_123_metals_xagusd_h1_major_partial123_006,charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png,charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png,partial_123,XAGUSD.r,H1,major,bullish,impulse_with_htf,75,plausible_but_needs_review,4,70,partially_useful,useful_for_wave_role,partially_useful,bullish_recovery_inside_choppy_broader_downtrend,candidate is counter to nearby EMA bearish pressure and later fails into new lows,yes,medium,keep_as_ambiguous_example,The 0-1-2-3 swing is readable and EWO improves into 3 but price is still under/around bearish EMA context and the post-3 action weakens the bullish interpretation.,promising_but_needs_review,,22
partial_123_index_aus200_h1_major_partial123_002,charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png,charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png,partial_123,AUS200,H1,major,bearish,correction_against_htf,60,visually_defensible,4,76,useful,useful_for_wave_role,conflict_explains_case,bearish_impulse_start_against_bullish_htf,HTF bullish conflict means this is better as reversal/countertrend example than normal aligned impulse,yes,medium,possible_rule_candidate,Bearish 0-1-2-3 is visually strong: lower high at 2 sharp break into 3 EMA rollover begins; conflict label is real and explains risk.,promising_but_needs_review,context_contradiction_but_visual_good,23
partial_123_forex_eurusd_h1_major_partial123_002,charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png,charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png,partial_123,EURUSD.r,H1,major,bearish,impulse_with_htf,85,visually_defensible,5,84,useful,useful_for_wave_role,useful,bearish_impulse_continuation,none material; candidate is one of the cleaner bearish partials,yes,medium,keep_as_good_example,Clean bearish sequence below falling EMA 50/150: 0 high 1 drop 2 lower high 3 lower low; EWO negative/weak around the sell leg supports the role.,usable_soft_rule,top_positive_methodology_example,24
abc_forex_audjpy_h1_abc_009,charts\abc\025_abc_forex_audjpy_h1_abc_009.png,charts\abc\025_abc_forex_audjpy_h1_abc_009.png,abc,AUDJPY.r,H1,intermediate,bullish,impulse_with_htf,85,visually_forced,2,38,misleading,useful_for_momentum_only,unclear,bullish_impulse_mislabeled_as_abc_cluster,ABC labels overlap several impulse subwaves and do not isolate a correction,yes,high,use_as_negative_example,Purple paths jump across multiple nested swings; the dominant visible story is bullish impulse and continuation not a clean corrective ABC.,not_supported,low_visual_quality|ewo_or_visual_role_mismatch,25
abc_metals_xagusd_h1_abc_003,charts\abc\026_abc_metals_xagusd_h1_abc_003.png,charts\abc\026_abc_metals_xagusd_h1_abc_003.png,abc,XAGUSD.r,H1,intermediate,bearish,correction_against_htf,60,visually_forced,2,30,partially_useful,useful_for_momentum_only,conflict_suspicious,large_selloff_and_rebound_chop_not_clean_abc,too many overlapping ABC alternatives around a crash leg; labels mix correction and impulse,yes,high,use_as_negative_example,The central XAGUSD drop is impulsive-looking while the ABC overlays cross several degrees and make the correction role unclear.,not_supported,low_visual_quality,26
abc_index_aus200_h1_abc_004,charts\abc\027_abc_index_aus200_h1_abc_004.png,charts\abc\027_abc_index_aus200_h1_abc_004.png,abc,AUS200,H1,intermediate,bearish,correction_against_htf,60,ambiguous,3,46,partially_useful,useful_for_momentum_only,conflict_explains_case,bearish_impulse_with_possible_internal_corrections,candidate ABCs are crowded and partially duplicate the bearish impulse,yes,high,inspect_manually_before_phase_2_5,There is a real bearish move after the top but the ABC labels sit on both the topping chop and the decline so correction versus impulse is blurred.,too_noisy,,27
abc_forex_audjpy_h1_abc_011,charts\abc\028_abc_forex_audjpy_h1_abc_011.png,charts\abc\028_abc_forex_audjpy_h1_abc_011.png,abc,AUDJPY.r,H1,intermediate,bullish,impulse_with_htf,65,visually_forced,2,35,misleading,useful_for_momentum_only,unclear,bullish_breakout_impulse_not_correction,C is placed at the strongest breakout high making ABC resemble an impulse leg,yes,high,use_as_negative_example,The price action from B to C is the main bullish thrust; treating it as corrective C is visually weak despite aligned EMA context.,not_supported,low_visual_quality,28
abc_forex_audjpy_h1_abc_007,charts\abc\029_abc_forex_audjpy_h1_abc_007.png,charts\abc\029_abc_forex_audjpy_h1_abc_007.png,abc,AUDJPY.r,H1,minor,bullish,conflict_with_htf,60,visually_forced,2,32,misleading,useful_for_momentum_only,conflict_suspicious,range_noise_before_bullish_impulse,minor ABC labels are stacked inside sideways chop and then attach to later impulse,yes,high,use_as_negative_example,Multiple A/B/C marks cluster around AUDJPY range noise; the later C at the major high reads as impulse completion rather than correction.,not_supported,conflict_with_htf|low_visual_quality,29
abc_metals_xagusd_h1_abc_002,charts\abc\030_abc_metals_xagusd_h1_abc_002.png,charts\abc\030_abc_metals_xagusd_h1_abc_002.png,abc,XAGUSD.r,H1,minor,bullish,impulse_with_htf,65,visually_forced,2,28,misleading,useful_for_momentum_only,unclear,bearish_impulse_cascade_mislabeled_as_abc,ABC labels span too many degrees and confuse crash leg with correction,yes,high,use_as_negative_example,The huge drop from the XAGUSD high dominates the chart; purple paths are tangled and do not define a defensible minor bullish correction.,not_supported,low_visual_quality|ewo_or_visual_role_mismatch,30
abc_index_aus200_h1_abc_006,charts\abc\031_abc_index_aus200_h1_abc_006.png,charts\abc\031_abc_index_aus200_h1_abc_006.png,abc,AUS200,H1,minor,bearish,correction_against_htf,60,ambiguous,3,42,partially_useful,useful_for_momentum_only,conflict_explains_case,bearish_leg_with_nested_corrective_noise,ABC paths overlap the same bearish impulse and several sub-swings,yes,high,inspect_manually_before_phase_2_5,Some downtrend corrections are visible but labels are dense and the final C reaches the major selloff low making the structure too broad for clean ABC use.,too_noisy,,31
abc_forex_audjpy_h1_abc_013,charts\abc\032_abc_forex_audjpy_h1_abc_013.png,charts\abc\032_abc_forex_audjpy_h1_abc_013.png,abc,AUDJPY.r,H1,minor,bullish,impulse_with_htf,85,visually_forced,2,34,misleading,useful_for_momentum_only,unclear,bullish_impulse_continuation_mislabeled_as_correction,candidate turns the main breakout into C rather than separating correction from impulse,yes,high,use_as_negative_example,AUDJPY trend context is bullish but the ABC overlay treats trend expansion as corrective; visually poor for ABC rule extraction.,not_supported,low_visual_quality|ewo_or_visual_role_mismatch,32
abc_metals_xagusd_h1_abc_006,charts\abc\033_abc_metals_xagusd_h1_abc_006.png,charts\abc\033_abc_metals_xagusd_h1_abc_006.png,abc,XAGUSD.r,H1,major,bullish,impulse_with_htf,75,visually_forced,2,31,partially_useful,useful_for_momentum_only,unclear,mixed_rebound_and_selloff_structure_without_clean_abc,labels crisscross major swings and include both rebound and decline legs,yes,high,use_as_negative_example,XAGUSD has usable swings but the marked ABC candidates are tangled across degrees; EWO shows momentum phases not a stable corrective signature.,not_supported,low_visual_quality,33
abc_index_aus200_h1_abc_002,charts\abc\034_abc_index_aus200_h1_abc_002.png,charts\abc\034_abc_index_aus200_h1_abc_002.png,abc,AUS200,H1,major,bearish,correction_against_htf,60,plausible_but_needs_review,3,58,partially_useful,useful_for_wave_role,conflict_explains_case,bearish_reversal_leg_after_top,top-side ABC is compressed and could be a bearish 1-2-3 instead,yes,medium,inspect_manually_before_phase_2_5,This is cleaner than most ABCs: a top small retrace and sharp C/down leg are visible; still it may be better classified as bearish impulse start.,promising_but_needs_review,context_contradiction_but_visual_good,34
abc_forex_eurusd_h1_abc_002,charts\abc\035_abc_forex_eurusd_h1_abc_002.png,charts\abc\035_abc_forex_eurusd_h1_abc_002.png,abc,EURUSD.r,H1,major,bearish,impulse_with_htf,85,ambiguous,3,50,useful,useful_for_momentum_only,useful,bearish_continuation_with_internal_corrections,several ABC labels ride the dominant downtrend rather than one clear correction,yes,medium,keep_as_ambiguous_example,EURUSD bearish EMA context is excellent but the purple structures blend continuation legs and pullbacks; useful ambiguous case not clean ABC exemplar.,too_noisy,,35
abc_forex_gbpusd_h1_abc_003,charts\abc\036_abc_forex_gbpusd_h1_abc_003.png,charts\abc\036_abc_forex_gbpusd_h1_abc_003.png,abc,GBPUSD.r,H1,major,bullish,correction_against_htf,35,ambiguous,3,44,partially_useful,useful_for_momentum_only,conflict_suspicious,bearish_drift_with_corrective_bounces,score and HTF conflict are weak; labels are crowded inside declining channel,yes,high,do_not_use_for_rules,GBPUSD has bearish pressure below EMAs but the ABC markings are overloaded and do not separate the correction from the broader decline cleanly.,not_supported,,36
near_miss_forex_audjpy_h1_intermediate_impulse_011,charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,near_miss,AUDJPY.r,H1,intermediate,bullish,impulse_with_htf,85,visually_defensible,4,8,useful,useful_for_wave_role,useful,EWO peak supports wave 3; negative trough marks wave 4; renewed positive supports weak wave 5,wave 5 is modest after a very deep wave 4 but structure is readable,no,low,possible_rule_candidate,Clean AUDJPY bullish sequence: strong 0-3 advance above rising EMAs deep 4 into EMA area then recovery to 5.,usable_soft_rule,,37
near_miss_metals_xagusd_h1_intermediate_impulse_003,charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png,charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png,near_miss,XAGUSD.r,H1,intermediate,bearish,correction_against_htf,60,plausible_but_needs_review,3,6,partially_useful,useful_for_wave_role,conflict_explains_case,EWO flips sharply negative into wave 3 and weakens on corrective bounces,bearish count fights bullish HTF and begins after a spike; useful as correction-against-HTF case,yes,medium,keep_as_ambiguous_example,Bearish impulse is visually plausible from the spike high but the initial pivoting is violent and HTF conflict matters.,promising_but_needs_review,context_contradiction_but_visual_good,38
near_miss_index_aus200_h1_intermediate_impulse_008,charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png,charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png,near_miss,AUS200,H1,intermediate,bearish,impulse_with_htf,60,ambiguous,3,5,partially_useful,useful_for_wave_role,useful,large negative EWO trough fits wave 3 but wave 5 lacks bearish momentum,wave 5 is truncated or not a true fifth; rebound into 4 is too dominant,yes,high,inspect_manually_before_phase_2_5,AUS200 bearish context is real but the orange count ends with a higher low after a large rebound.,promising_but_needs_review,,39
near_miss_forex_audjpy_h1_minor_impulse_007,charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png,charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png,near_miss,AUDJPY.r,H1,minor,bullish,conflict_with_htf,60,visually_forced,2,4,misleading,unclear,conflict_suspicious,EWO is mixed around a choppy corrective basin not a clean bullish impulse signature,minor bullish count is embedded in sideways/down chop while EMAs do not support clean upside,yes,high,do_not_use_for_rules,The five labels overfit local swings before the real later bullish expansion; context says transition not impulse.,too_noisy,conflict_with_htf|low_visual_quality,40
near_miss_metals_xagusd_h1_minor_impulse_002,charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png,charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png,near_miss,XAGUSD.r,H1,minor,bullish,impulse_with_htf,45,visually_forced,2,4,partially_useful,useful_for_momentum_only,partially_useful,positive EWO confirms early rally strength but not a coherent five-wave completion,wave 5 is a lower high after a collapse; the count resembles a failed rebound,yes,high,use_as_negative_example,The huge 2-3 leg is visually obvious but the post-3 collapse makes the 4-5 section poor for a bullish impulse.,too_noisy,low_visual_quality,41
near_miss_index_aus200_h1_minor_impulse_012,charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png,charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png,near_miss,AUS200,H1,minor,bearish,impulse_with_htf,60,ambiguous,3,5,partially_useful,useful_for_wave_role,useful,negative EWO supports the main selloff into wave 3 but wave 5 has little downside confirmation,fifth wave is truncated and occurs during rebound stabilization,yes,medium,keep_as_ambiguous_example,Bearish setting is valid yet the selected minor pivots make the final leg look like a failed continuation.,promising_but_needs_review,,42
near_miss_forex_audjpy_h1_major_impulse_007,charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png,charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png,near_miss,AUDJPY.r,H1,major,bullish,impulse_with_htf,85,plausible_but_needs_review,4,7,useful,useful_for_wave_role,useful,EWO maximum aligns with wave 3 and positive recovery supports wave 5 attempt,major wave 5 is below wave 3 so completion is visually truncated,yes,medium,possible_rule_candidate,Good large bullish context after basing but the 0-1-2 setup is broad and wave 5 does not exceed wave 3.,promising_but_needs_review,,43
near_miss_metals_xagusd_h1_major_impulse_006,charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png,charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png,near_miss,XAGUSD.r,H1,major,bullish,impulse_with_htf,70,ambiguous,3,5,partially_useful,useful_for_momentum_only,partially_useful,EWO supports the rally into wave 3 but not the weak lower-high wave 5,looks more like corrective recovery inside a broader XAGUSD decline,yes,high,keep_as_ambiguous_example,The count captures a tradable upswing but EMAs and later selloff make it weak as a bullish impulse template.,too_noisy,,44
near_miss_index_aus200_h1_major_impulse_006,charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png,charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png,near_miss,AUS200,H1,major,bearish,impulse_with_htf,45,likely_false_candidate,2,4,partially_useful,useful_for_wave_role,useful,negative EWO confirms wave 3 selloff but rejects the final bearish continuation,wave 5 is a higher low and the structure reverses before confirming continuation,yes,high,use_as_negative_example,Bearish trend context is strong but this candidate is visually a failed fifth rather than a clean impulse.,not_supported,low_visual_quality,45
hard_invalid_forex_audjpy_h1_intermediate_impulse_001,charts\invalidations\046_hard_invalid_forex_audjpy_h1_intermediate_impulse_001.png,charts\invalidations\046_hard_invalid_forex_audjpy_h1_intermediate_impulse_001.png,hard_invalid,AUDJPY.r,H1,intermediate,bullish,conflict_with_htf,60,hard_invalid_correct,4,8,partially_useful,useful_for_wave_role,conflict_suspicious,EWO supports the wave 3 high but cannot rescue wave 4 breaking the impulse geometry,wave 4 drops below wave 2 area in bullish labeling; invalidation is visually clear,yes,medium,use_as_negative_example,Strong negative example: attractive bullish peaks exist but the internal overlap makes the count invalid.,usable_soft_rule,conflict_with_htf,46
hard_invalid_metals_xagusd_h1_intermediate_impulse_001,charts\invalidations\047_hard_invalid_metals_xagusd_h1_intermediate_impulse_001.png,charts\invalidations\047_hard_invalid_metals_xagusd_h1_intermediate_impulse_001.png,hard_invalid,XAGUSD.r,H1,intermediate,bearish,correction_against_htf,60,hard_invalid_correct,4,8,useful,useful_for_wave_role,conflict_explains_case,EWO is positive into the invalid wave 2 spike then strongly negative into the selloff,for bearish count wave 2 exceeds the wave 0 origin; hard invalid is clean,no,low,use_as_negative_example,Excellent hard-invalid bearish example: the apparent selloff is real but the rebound high breaks the starting level.,usable_soft_rule,,47
