candidate_id,source_scope,symbol,timeframe,swing_degree,trend_context_label,ema_htf_helpfulness,end_ltf_price_vs_ema_band,htf_timeframe,htf_ema_alignment,htf_price_vs_ema_band,ema_htf_policy_label,ema_htf_soft_support,ema_htf_score_delta,ema_band_warning,htf_conflict_warning,context_must_not_rescue_bad_count,ema_htf_policy_reason,chart_path
impulse_exp252_index_aus200_h4_major_impulse_016,h4_d1,AUS200,H4,major,correction_against_htf,explains_correction,below_band,D1,bullish_alignment,below_band,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\011_impulse_exp252_index_aus200_h4_major_impulse_016.png
impulse_exp252_forex_eurusd_h4_major_impulse_029,h4_d1,EURUSD.r,H4,major,correction_against_htf,explains_correction,below_band,D1,bullish_alignment,below_band,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\012_impulse_exp252_forex_eurusd_h4_major_impulse_029.png
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002,h4_d1,AUDJPY.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png
partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002,h4_d1,XAGUSD.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png
partial_123_exp252_index_aus200_h4_intermediate_partial123_001,h4_d1,AUS200,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004,h4_d1,AUDJPY.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png
partial_123_exp252_forex_audjpy_h4_minor_partial123_002,h4_d1,AUDJPY.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png
partial_123_exp252_metals_xagusd_h4_minor_partial123_002,h4_d1,XAGUSD.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png
partial_123_exp252_index_aus200_h4_minor_partial123_001,h4_d1,AUS200,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png
partial_123_exp252_forex_audjpy_h4_minor_partial123_004,h4_d1,AUDJPY.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png
partial_123_exp252_forex_audjpy_h4_major_partial123_002,h4_d1,AUDJPY.r,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png
partial_123_exp252_metals_xagusd_h4_major_partial123_002,h4_d1,XAGUSD.r,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png
partial_123_exp252_index_aus200_h4_major_partial123_001,h4_d1,AUS200,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\023_partial_123_exp252_index_aus200_h4_major_partial123_001.png
partial_123_exp252_forex_audjpy_h4_major_partial123_005,h4_d1,AUDJPY.r,H4,major,correction_against_htf,explains_correction,below_band,D1,bullish_alignment,above_band,ema_htf_correction_context,contextual,-10,,htf_conflict_warning,True,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=False; htf_conflict_warning; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\024_partial_123_exp252_forex_audjpy_h4_major_partial123_005.png
abc_exp252_forex_audjpy_h4_intermediate_abc_002,h4_d1,AUDJPY.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\025_abc_exp252_forex_audjpy_h4_intermediate_abc_002.png
abc_exp252_metals_xagusd_h4_intermediate_abc_002,h4_d1,XAGUSD.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\026_abc_exp252_metals_xagusd_h4_intermediate_abc_002.png
abc_exp252_index_aus200_h4_intermediate_abc_001,h4_d1,AUS200,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\027_abc_exp252_index_aus200_h4_intermediate_abc_001.png
abc_exp252_forex_audjpy_h4_intermediate_abc_004,h4_d1,AUDJPY.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\028_abc_exp252_forex_audjpy_h4_intermediate_abc_004.png
abc_exp252_forex_audjpy_h4_minor_abc_004,h4_d1,AUDJPY.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\029_abc_exp252_forex_audjpy_h4_minor_abc_004.png
abc_exp252_metals_xagusd_h4_minor_abc_004,h4_d1,XAGUSD.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\030_abc_exp252_metals_xagusd_h4_minor_abc_004.png
abc_exp252_index_aus200_h4_minor_abc_001,h4_d1,AUS200,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\031_abc_exp252_index_aus200_h4_minor_abc_001.png
abc_exp252_forex_audjpy_h4_minor_abc_006,h4_d1,AUDJPY.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\032_abc_exp252_forex_audjpy_h4_minor_abc_006.png
abc_exp252_forex_audjpy_h4_major_abc_002,h4_d1,AUDJPY.r,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\033_abc_exp252_forex_audjpy_h4_major_abc_002.png
abc_exp252_metals_xagusd_h4_major_abc_002,h4_d1,XAGUSD.r,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\034_abc_exp252_metals_xagusd_h4_major_abc_002.png
abc_exp252_index_aus200_h4_major_abc_001,h4_d1,AUS200,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\035_abc_exp252_index_aus200_h4_major_abc_001.png
abc_exp252_forex_audjpy_h4_major_abc_005,h4_d1,AUDJPY.r,H4,major,correction_against_htf,explains_correction,below_band,D1,bullish_alignment,above_band,ema_htf_correction_context,contextual,-10,,htf_conflict_warning,True,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=False; htf_conflict_warning; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\036_abc_exp252_forex_audjpy_h4_major_abc_005.png
near_miss_exp252_forex_audjpy_h4_intermediate_impulse_004,h4_d1,AUDJPY.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\037_near_miss_exp252_forex_audjpy_h4_intermediate_impulse_004.png
near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004,h4_d1,XAGUSD.r,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\038_near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004.png
near_miss_exp252_index_aus200_h4_intermediate_impulse_001,h4_d1,AUS200,H4,intermediate,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\039_near_miss_exp252_index_aus200_h4_intermediate_impulse_001.png
near_miss_exp252_forex_audjpy_h4_minor_impulse_006,h4_d1,AUDJPY.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\040_near_miss_exp252_forex_audjpy_h4_minor_impulse_006.png
near_miss_exp252_metals_xagusd_h4_minor_impulse_006,h4_d1,XAGUSD.r,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\041_near_miss_exp252_metals_xagusd_h4_minor_impulse_006.png
near_miss_exp252_index_aus200_h4_minor_impulse_001,h4_d1,AUS200,H4,minor,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\042_near_miss_exp252_index_aus200_h4_minor_impulse_001.png
near_miss_exp252_forex_audjpy_h4_major_impulse_002,h4_d1,AUDJPY.r,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\043_near_miss_exp252_forex_audjpy_h4_major_impulse_002.png
near_miss_exp252_metals_xagusd_h4_major_impulse_006,h4_d1,XAGUSD.r,H4,major,impulse_with_htf,supports_context,inside_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,-4,price_inside_ema_band_adds_ambiguity,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=inside_band; htf_match=True; ltf_match=True; price_inside_ema_band_adds_ambiguity; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\044_near_miss_exp252_metals_xagusd_h4_major_impulse_006.png
near_miss_exp252_index_aus200_h4_major_impulse_001,h4_d1,AUS200,H4,major,impulse_with_htf,supports_context,above_band,D1,bullish_alignment,above_band,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\045_near_miss_exp252_index_aus200_h4_major_impulse_001.png
hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001,h4_d1,AUDJPY.r,H4,intermediate,conflict_with_htf,misleading,above_band,D1,bullish_alignment,above_band,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\046_hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001.png
hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001,h4_d1,XAGUSD.r,H4,intermediate,conflict_with_htf,misleading,above_band,D1,bullish_alignment,above_band,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png
hard_invalid_exp252_index_aus200_h4_intermediate_impulse_002,h4_d1,AUS200,H4,intermediate,correction_against_htf,explains_correction,below_band,D1,bullish_alignment,above_band,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\048_hard_invalid_exp252_index_aus200_h4_intermediate_impulse_002.png
hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001,h4_d1,AUDJPY.r,H4,minor,conflict_with_htf,misleading,above_band,D1,bullish_alignment,above_band,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\049_hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001.png
hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001,h4_d1,XAGUSD.r,H4,minor,conflict_with_htf,misleading,above_band,D1,bullish_alignment,above_band,ema_htf_misleading_warning,misleading,-18,,htf_conflict_warning,False,input_label=misleading; trend_context_label=conflict_with_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\050_hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001.png
hard_invalid_exp252_index_aus200_h4_minor_impulse_002,h4_d1,AUS200,H4,minor,correction_against_htf,explains_correction,below_band,D1,bullish_alignment,above_band,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\051_hard_invalid_exp252_index_aus200_h4_minor_impulse_002.png
hard_invalid_exp252_forex_audjpy_h4_major_impulse_001,h4_d1,AUDJPY.r,H4,major,correction_against_htf,explains_correction,above_band,D1,bullish_alignment,above_band,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=above_band; htf_match=False; ltf_match=False; htf_conflict_warning; context_support_on_no_profile_is_not_validation,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\052_hard_invalid_exp252_forex_audjpy_h4_major_impulse_001.png
