symbol,market_group,trend_chip,rsi_chip,pivot_chip,previous_day_level_chip,round_level_chip,fibonacci_chip,volatility_chip,macd_breakout_chip,fib_limit_chip,wavecount_chip,codex_review_status,setups_count,max_quality_score,is_signal,is_study_only,can_execute_order,would_send_to_mt5,would_send_telegram_order,wavecount_used_as_filter
EURUSD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,cerca Fib 38.2 (0.01%),adecuada 1.10x,breakout_recent x1|missing_context x1|invalidated x2,historico auditado 5/5,W4? H1 media,revision codex pendiente,2,4,False,True,False,False,False,False
GBPCAD.r,Forex Majors,H1/H4/D1 bearish,neutral,no_context,no_context,Nivel redondo superior 0.00%,cerca Fib 38.2 (0.02%),adecuada 0.85x,entry_review x1|late x1|missing_context x2,historico auditado 5/5,W4? H4 media,revision codex pendiente,2,4,False,True,False,False,False,False
GBPCHF.r,Forex Majors,M15/H1/H4 bullish,neutral,no_context,Maximo dia previo 0.11%,no_context,contexto Fib 23.6 (0.47%),comprimida 0.65x,late x2|invalidated x2,historico auditado 5/5,W3? H4 media,revision codex pendiente,3,4,False,True,False,False,False,False
JP225,Index,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.05%; Nivel redondo superior 0.14%,contexto Fib 23.6 (1.87%),adecuada 1.19x,entry_review x1|missing_context x2|invalidated x1,pendiente detector live,W4? H1 fuerte,revision codex pendiente,2,4,False,True,False,False,False,False
NZDJPY.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.08%),comprimida 0.81x,entry_review x1|missing_context x2|invalidated x1,pendiente detector live,W3? H4 media,revision codex pendiente,2,4,False,True,False,False,False,False
UK100,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.22%,contexto Fib 23.6 (1.82%),adecuada 0.98x,breakout_recent x1|missing_context x1|invalidated x2,pendiente detector live,W3? H4 media,revision codex pendiente,2,4,False,True,False,False,False,False
US500,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.32%; Nivel redondo superior 0.43%,contexto Fib 23.6 (1.28%),adecuada 1.02x,breakout_recent x1|missing_context x2|invalidated x1,pendiente detector live,W3? H1 media,revision codex pendiente,2,4,False,True,False,False,False,False
AUS200,Index,sin alineacion limpia,neutral,no_context,Minimo dia previo 0.43%,Nivel redondo inferior 0.25%; Nivel redondo superior 0.34%,contexto Fib 23.6 (4.22%),adecuada 1.53x,late x1|missing_context x2|invalidated x1,historico auditado 5/5,W4? H1 fuerte,revision codex pendiente,3,3,False,True,False,False,False,False
EURAUD.r,Forex Majors,sin alineacion limpia,neutral,no_context,Minimo dia previo 0.08%,Nivel redondo superior 0.08%,contexto Fib 23.6 (0.48%),adecuada 1.37x,late x1|missing_context x1|invalidated x2,historico auditado 5/5,W4? H1 fuerte,revision codex pendiente,3,3,False,True,False,False,False,False
EURCHF.r,Forex Majors,sin alineacion limpia,neutral,no_context,Maximo dia previo 0.09%,Nivel redondo inferior 0.09%,contexto Fib 78.6 (0.19%),comprimida 0.63x,missing_context x2|invalidated x2,pendiente detector live,W2? H4 media,revision codex pendiente,3,3,False,True,False,False,False,False
EURJPY.r,Forex Majors,sin alineacion limpia,neutral,no_context,Maximo dia previo 0.12%,no_context,cerca Fib 38.2 (0.03%),comprimida 0.68x,late x1|missing_context x1|invalidated x2,pendiente detector live,W4? H4 media,revision codex pendiente,3,3,False,True,False,False,False,False
EURNZD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.07%,cerca Fib 61.8 (0.02%),adecuada 0.90x,missing_context x1|invalidated x3,live Fib 61.8 H1,W3? H4 media,revision codex pendiente,3,3,False,True,False,False,False,False
EURO50,Index,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.33%,cerca Fib 38.2 (0.17%),adecuada 1.14x,missing_context x2|invalidated x2,pendiente detector live,W2? H1 media,revision codex pendiente,3,3,False,True,False,False,False,False
GBPAUD.r,Forex Majors,sin alineacion limpia,neutral,no_context,Minimo dia previo 0.07%,Nivel redondo superior 0.03%,contexto Fib 23.6 (0.31%),adecuada 1.25x,missing_context x1|invalidated x3,historico auditado 5/5,W3? H4 media,revision codex pendiente,3,3,False,True,False,False,False,False
GER40,Index,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.27%; Nivel redondo superior 0.15%,cerca Fib 38.2 (0.06%),adecuada 1.06x,missing_context x1|invalidated x3,pendiente detector live,W3? H4 fuerte,revision codex pendiente,3,3,False,True,False,False,False,False
HK50,Index,sin alineacion limpia,neutral,no_context,Maximo dia previo 0.32%,Nivel redondo inferior 0.37%; Nivel redondo superior 0.01%,cerca Fib 78.6 (0.14%),adecuada 1.15x,late x1|missing_context x1|invalidated x2,pendiente detector live,W3? H4 fuerte,revision codex pendiente,3,3,False,True,False,False,False,False
XPTUSD,Metals,sin alineacion limpia,neutral,no_context,Maximo dia previo 0.15%,no_context,cerca Fib 38.2 (0.22%),adecuada 0.94x,missing_context x1|invalidated x3,historico auditado 5/5,W3? H1 fuerte,revision codex pendiente,3,3,False,True,False,False,False,False
AUDNZD.r,Forex Majors,M15/H1/H4 bullish,neutral,R3 previo 0.06%,no_context,Nivel redondo superior 0.07%,contexto Fib 23.6 (0.69%),adecuada 1.53x,late x1|invalidated x3,historico auditado 4/5,W5? H1 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
CADCHF.r,Forex Majors,M15/H1/H4 bullish,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.19%),comprimida 0.84x,late x1|invalidated x3,historico auditado 5/5,W3? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
EURCAD.r,Forex Majors,H1/H4/D1 bearish,neutral,no_context,no_context,no_context,cerca Fib 38.2 (0.07%),adecuada 0.97x,late x2|missing_context x1|invalidated x1,pendiente detector live,W3? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
FRA40,Index,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo superior 0.15%,contexto Fib 23.6 (3.50%),adecuada 1.19x,late x1|missing_context x2|invalidated x1,pendiente detector live,W2? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
GBPNZD.r,Forex Majors,M15/H1/H4 bullish,neutral,no_context,no_context,Nivel redondo inferior 0.08%,cerca Fib 50 (0.03%),adecuada 0.86x,late x1|missing_context x1|invalidated x2,historico auditado 4/5 cautela,W4? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
GBPUSD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo superior 0.07%,contexto Fib 78.6 (0.20%),adecuada 0.94x,missing_context x2|invalidated x2,historico auditado 4/5,W2? H4 media,revision codex pendiente,2,2,False,True,False,False,False,False
NZDCAD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,contexto Fib 61.8 (0.12%),adecuada 1.04x,missing_context x2|invalidated x2,historico auditado 4/5,W3? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
NZDUSD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.69%),adecuada 1.09x,missing_context x2|invalidated x2,pendiente detector live,W5? H1 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
US30,Index,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.07%; Nivel redondo superior 0.14%,contexto Fib 23.6 (0.74%),adecuada 1.04x,late x1|missing_context x1|invalidated x2,pendiente detector live,W3? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
USDCAD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo superior 0.04%,cerca Fib 38.2 (0.01%),comprimida 0.80x,missing_context x1|invalidated x3,historico auditado 3/5 cautela,W5? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
USDCHF.r,Forex Majors,M15/H1/H4 bullish,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.21%),adecuada 0.93x,missing_context x1|invalidated x3,historico auditado 4/5,W2? H4 debil,revision codex pendiente,2,2,False,True,False,False,False,False
USDJPY,Forex Majors,M15/H1/H4 bullish,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.51%),adecuada 0.88x,late x1|missing_context x1|invalidated x2,historico auditado 5/5,W3? H4 debil,revision codex pendiente,2,2,False,True,False,False,False,False
XAGEUR.r,Metals,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.27%,contexto Fib 23.6 (0.50%),adecuada 0.94x,missing_context x1|invalidated x3,historico auditado 4/5,W3? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
XAGUSD.r,Metals,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.11%,contexto Fib 23.6 (0.60%),adecuada 0.97x,missing_context x1|invalidated x3,historico auditado 4/5 cautela,W2? H4 media,revision codex pendiente,2,2,False,True,False,False,False,False
XPDUSD,Metals,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo superior 0.03%,contexto Fib 23.6 (2.92%),comprimida 0.73x,missing_context x1|invalidated x3,pendiente detector live,W4? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
CADJPY.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,cerca Fib 50 (0.06%),comprimida 0.75x,late x2|missing_context x2,historico auditado 5/5,W3? H1 media,revision codex pendiente,2,1,False,True,False,False,False,False
CHFJPY.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.27%),comprimida 0.70x,missing_context x2|invalidated x2,pendiente detector live,W3? H4 media,revision codex pendiente,2,1,False,True,False,False,False,False
EURGBP.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.65%),comprimida 0.68x,missing_context x1|invalidated x3,pendiente detector live,W3? H4 media,revision codex pendiente,2,1,False,True,False,False,False,False
GBPJPY.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,contexto Fib 78.6 (0.42%),comprimida 0.64x,late x1|missing_context x2|invalidated x1,historico auditado 5/5,W3? H4 media,revision codex pendiente,2,1,False,True,False,False,False,False
XAUEUR.r,Metals,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.30%,contexto Fib 23.6 (0.67%),comprimida 0.78x,invalidated x4,pendiente detector live,W3? H4 media,revision codex pendiente,2,1,False,True,False,False,False,False
XAUUSD.r,Metals,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.21%,contexto Fib 23.6 (1.53%),adecuada 0.87x,invalidated x4,pendiente detector live,W4? H4 media,revision codex pendiente,2,1,False,True,False,False,False,False
BRENT,Commodities,H1/H4/D1 bullish,neutral,no_context,no_context,no_context,pending_source,excesiva 2.73x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
BTCUSD,Crypto,M15/H1/H4 bullish,neutral,no_context,no_context,Nivel redondo inferior 0.11%; Nivel redondo superior 0.02%,pending_source,adecuada 1.11x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
COFFEE,Commodities,sin alineacion limpia,neutral,no_context,no_context,no_context,pending_source,adecuada 0.96x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
ETHUSD,Crypto,M15/H1/H4 bullish,neutral,no_context,no_context,no_context,pending_source,adecuada 1.21x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
LTCUSD,Crypto,M15/H1/H4 bullish,neutral,no_context,no_context,no_context,pending_source,adecuada 0.99x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
RPLUSD,Crypto,M15/H1/H4 bullish,neutral,no_context,no_context,Nivel redondo superior 0.21%,pending_source,adecuada 1.59x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
USDMXN.r,Forex Exotic,sin alineacion limpia,neutral,no_context,no_context,no_context,pending_source,adecuada 1.19x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
USDNOK.r,Forex Exotic,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.04%; Nivel redondo superior 0.01%,pending_source,comprimida 0.82x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
USDSEK.r,Forex Exotic,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.03%; Nivel redondo superior 0.03%,pending_source,adecuada 1.08x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
USDSGD.r,Forex Exotic,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo superior 0.07%,pending_source,adecuada 1.14x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
USDZAR.r,Forex Exotic,sin alineacion limpia,neutral,no_context,no_context,no_context,pending_source,adecuada 1.42x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
WTI,Commodities,H1/H4/D1 bullish,neutral,no_context,no_context,Nivel redondo superior 0.22%,pending_source,excesiva 2.59x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
