severity,area,item,detail,recommendation
pendiente/no bloqueante,vigencia_live,JP225 M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,JP225 M15,gaps cortos/anomalos: 917,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,JP225 M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,JP225 M30,gaps cortos/anomalos: 1253,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,JP225 H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,JP225 H1,gaps cortos/anomalos: 1246,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,JP225 H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,JP225 H4,gaps cortos/anomalos: 39,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,JP225 D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,SPA35 M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,SPA35 M15,gaps cortos/anomalos: 990,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,SPA35 M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,SPA35 M30,gaps cortos/anomalos: 983,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,SPA35 H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,SPA35 H1,gaps cortos/anomalos: 980,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,SPA35 H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,SPA35 H4,gaps cortos/anomalos: 974,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,SPA35 D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,UK100 M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,UK100 M15,gaps cortos/anomalos: 916,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,UK100 M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,UK100 M30,gaps cortos/anomalos: 1216,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,UK100 H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,UK100 H1,gaps cortos/anomalos: 1210,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,UK100 H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,UK100 H4,gaps cortos/anomalos: 26,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,UK100 D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,US100 M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US100 M15,gaps cortos/anomalos: 968,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US100 M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US100 M30,gaps cortos/anomalos: 1272,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US100 H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US100 H1,gaps cortos/anomalos: 1258,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US100 H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US100 H4,gaps cortos/anomalos: 28,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US100 D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,US30 M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US30 M15,gaps cortos/anomalos: 969,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US30 M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US30 M30,gaps cortos/anomalos: 1268,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US30 H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US30 H1,gaps cortos/anomalos: 1258,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US30 H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US30 H4,gaps cortos/anomalos: 34,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US30 D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
pendiente/no bloqueante,vigencia_live,US500 M15,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US500 M15,gaps cortos/anomalos: 969,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US500 M30,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US500 M30,gaps cortos/anomalos: 1264,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US500 H1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US500 H1,gaps cortos/anomalos: 1254,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US500 H4,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
menor,gaps,US500 H4,gaps cortos/anomalos: 33,"revisar ejemplos; pueden ser festivos, cortes de mercado o huecos reales"
pendiente/no bloqueante,vigencia_live,US500 D1,datos stale para live,actualizar SQL antes de watcher continuo o Telegram
