candidate_order,candidate_id,review_category,symbol,timeframe,swing_degree,direction,inferred_wave_role_from_ewo,ewo_context_usefulness,ewo_rule_assessment,visual_quality_score,visual_notes
11,impulse_index_aus200_h1_major_impulse_010,impulse,AUS200,H1,major,bearish,bearish lower-high sequence inside congestion,useful_for_momentum_only,too_noisy,3,This looks more like a late corrective subdivision after the main drop than a standalone major impulse. EMAs are bearish but the waves are compressed and overlapping.
12,impulse_index_hk50_m30_major_impulse_003,impulse,HK50,M30,major,bearish,bearish correction after EWO positive climax,useful_for_wave_role,promising_but_needs_review,4,The 0-5 decline is readable but it follows a powerful bullish move and looks more corrective than impulsive. EWO helps identify momentum rollover not a rule-grade bearish impulse by itself.
13,partial_123_forex_audjpy_h1_intermediate_partial123_009,partial_123,AUDJPY.r,H1,intermediate,bullish,bullish 1-2-3 launch with rising EWO,useful_for_wave_role,usable_soft_rule,5,Clean bullish partial: 0-1-2 forms a base near EMAs and 3 starts the breakout leg. EWO turns positive and keeps expanding after the 2 low.
14,partial_123_metals_xagusd_h1_intermediate_partial123_003,partial_123,XAGUSD.r,H1,intermediate,bearish,bearish 1-2-3 crash with strong EWO confirmation,useful_for_wave_role,usable_soft_rule,5,Very strong bearish partial: 0 top 1 selloff 2 rebound 3 capitulation low. EWO supports the role clearly; use as a counter-HTF but visually high-quality example.
15,partial_123_index_aus200_h1_intermediate_partial123_001,partial_123,AUS200,H1,intermediate,bullish,small bullish push near prior high,useful_for_momentum_only,too_noisy,3,Bullish partial is too local and shallow relative to the surrounding structure. EMAs and HTF are bullish but the subsequent collapse makes the visual candidate weak for rule discovery.
16,partial_123_forex_audjpy_h1_intermediate_partial123_011,partial_123,AUDJPY.r,H1,intermediate,bullish,bullish partial with extended wave 3,useful_for_wave_role,usable_soft_rule,5,Good bullish partial where 3 captures the breakout to the rally high. EMA alignment and EWO expansion make the context genuinely useful.
17,partial_123_forex_audjpy_h1_minor_partial123_007,partial_123,AUDJPY.r,H1,minor,bullish,bullish rebound inside choppy correction,useful_for_momentum_only,too_noisy,3,The 0-1-2-3 shape exists but it is embedded in messy post-drop consolidation and the EMA context is not convincing. EWO confirms a bounce more than a robust wave role.
18,partial_123_metals_xagusd_h1_minor_partial123_002,partial_123,XAGUSD.r,H1,minor,bullish,bullish 1-2-3 into blowoff high,useful_for_wave_role,promising_but_needs_review,4,Bullish direction and EWO support are real but the count stretches a small early 1-2 into a very large third wave ending at the prior major peak. Useful for review risky as automatic rule evidence.
19,partial_123_index_aus200_h1_minor_partial123_001,partial_123,AUS200,H1,minor,bullish,late_minor_bullish_exhaustion_before_bearish_reversal,useful_for_momentum_only,too_noisy,3,Small bullish 1-2-3 is visible above both EMAs but candles immediately roll into a much larger bearish leg; useful as exhaustion case more than clean continuation.
20,partial_123_forex_audjpy_h1_minor_partial123_013,partial_123,AUDJPY.r,H1,minor,bullish,bullish_momentum_expansion_after_base,useful_for_wave_role,usable_soft_rule,5,Clear basing near flat EMAs shallow 2 then decisive 3 into the later AUDJPY rally; EMA 50/150 and HTF both help explain the continuation.
21,partial_123_forex_audjpy_h1_major_partial123_007,partial_123,AUDJPY.r,H1,major,bullish,major_bullish_impulse_leg,useful_for_wave_role,usable_soft_rule,4,Major 1-2-3 captures the real bullish expansion from range to trend; EWO turns and expands with the move although the first leg is visually modest.
22,partial_123_metals_xagusd_h1_major_partial123_006,partial_123,XAGUSD.r,H1,major,bullish,bullish_recovery_inside_choppy_broader_downtrend,useful_for_wave_role,promising_but_needs_review,4,The 0-1-2-3 swing is readable and EWO improves into 3 but price is still under/around bearish EMA context and the post-3 action weakens the bullish interpretation.
23,partial_123_index_aus200_h1_major_partial123_002,partial_123,AUS200,H1,major,bearish,bearish_impulse_start_against_bullish_htf,useful_for_wave_role,promising_but_needs_review,4,Bearish 0-1-2-3 is visually strong: lower high at 2 sharp break into 3 EMA rollover begins; conflict label is real and explains risk.
24,partial_123_forex_eurusd_h1_major_partial123_002,partial_123,EURUSD.r,H1,major,bearish,bearish_impulse_continuation,useful_for_wave_role,usable_soft_rule,5,Clean bearish sequence below falling EMA 50/150: 0 high 1 drop 2 lower high 3 lower low; EWO negative/weak around the sell leg supports the role.
25,abc_forex_audjpy_h1_abc_009,abc,AUDJPY.r,H1,intermediate,bullish,bullish_impulse_mislabeled_as_abc_cluster,useful_for_momentum_only,not_supported,2,Purple paths jump across multiple nested swings; the dominant visible story is bullish impulse and continuation not a clean corrective ABC.
26,abc_metals_xagusd_h1_abc_003,abc,XAGUSD.r,H1,intermediate,bearish,large_selloff_and_rebound_chop_not_clean_abc,useful_for_momentum_only,not_supported,2,The central XAGUSD drop is impulsive-looking while the ABC overlays cross several degrees and make the correction role unclear.
27,abc_index_aus200_h1_abc_004,abc,AUS200,H1,intermediate,bearish,bearish_impulse_with_possible_internal_corrections,useful_for_momentum_only,too_noisy,3,There is a real bearish move after the top but the ABC labels sit on both the topping chop and the decline so correction versus impulse is blurred.
28,abc_forex_audjpy_h1_abc_011,abc,AUDJPY.r,H1,intermediate,bullish,bullish_breakout_impulse_not_correction,useful_for_momentum_only,not_supported,2,The price action from B to C is the main bullish thrust; treating it as corrective C is visually weak despite aligned EMA context.
29,abc_forex_audjpy_h1_abc_007,abc,AUDJPY.r,H1,minor,bullish,range_noise_before_bullish_impulse,useful_for_momentum_only,not_supported,2,Multiple A/B/C marks cluster around AUDJPY range noise; the later C at the major high reads as impulse completion rather than correction.
30,abc_metals_xagusd_h1_abc_002,abc,XAGUSD.r,H1,minor,bullish,bearish_impulse_cascade_mislabeled_as_abc,useful_for_momentum_only,not_supported,2,The huge drop from the XAGUSD high dominates the chart; purple paths are tangled and do not define a defensible minor bullish correction.
31,abc_index_aus200_h1_abc_006,abc,AUS200,H1,minor,bearish,bearish_leg_with_nested_corrective_noise,useful_for_momentum_only,too_noisy,3,Some downtrend corrections are visible but labels are dense and the final C reaches the major selloff low making the structure too broad for clean ABC use.
32,abc_forex_audjpy_h1_abc_013,abc,AUDJPY.r,H1,minor,bullish,bullish_impulse_continuation_mislabeled_as_correction,useful_for_momentum_only,not_supported,2,AUDJPY trend context is bullish but the ABC overlay treats trend expansion as corrective; visually poor for ABC rule extraction.
33,abc_metals_xagusd_h1_abc_006,abc,XAGUSD.r,H1,major,bullish,mixed_rebound_and_selloff_structure_without_clean_abc,useful_for_momentum_only,not_supported,2,XAGUSD has usable swings but the marked ABC candidates are tangled across degrees; EWO shows momentum phases not a stable corrective signature.
34,abc_index_aus200_h1_abc_002,abc,AUS200,H1,major,bearish,bearish_reversal_leg_after_top,useful_for_wave_role,promising_but_needs_review,3,This is cleaner than most ABCs: a top small retrace and sharp C/down leg are visible; still it may be better classified as bearish impulse start.
35,abc_forex_eurusd_h1_abc_002,abc,EURUSD.r,H1,major,bearish,bearish_continuation_with_internal_corrections,useful_for_momentum_only,too_noisy,3,EURUSD bearish EMA context is excellent but the purple structures blend continuation legs and pullbacks; useful ambiguous case not clean ABC exemplar.
36,abc_forex_gbpusd_h1_abc_003,abc,GBPUSD.r,H1,major,bullish,bearish_drift_with_corrective_bounces,useful_for_momentum_only,not_supported,3,GBPUSD has bearish pressure below EMAs but the ABC markings are overloaded and do not separate the correction from the broader decline cleanly.
37,near_miss_forex_audjpy_h1_intermediate_impulse_011,near_miss,AUDJPY.r,H1,intermediate,bullish,EWO peak supports wave 3; negative trough marks wave 4; renewed positive supports weak wave 5,useful_for_wave_role,usable_soft_rule,4,Clean AUDJPY bullish sequence: strong 0-3 advance above rising EMAs deep 4 into EMA area then recovery to 5.
38,near_miss_metals_xagusd_h1_intermediate_impulse_003,near_miss,XAGUSD.r,H1,intermediate,bearish,EWO flips sharply negative into wave 3 and weakens on corrective bounces,useful_for_wave_role,promising_but_needs_review,3,Bearish impulse is visually plausible from the spike high but the initial pivoting is violent and HTF conflict matters.
39,near_miss_index_aus200_h1_intermediate_impulse_008,near_miss,AUS200,H1,intermediate,bearish,large negative EWO trough fits wave 3 but wave 5 lacks bearish momentum,useful_for_wave_role,promising_but_needs_review,3,AUS200 bearish context is real but the orange count ends with a higher low after a large rebound.
40,near_miss_forex_audjpy_h1_minor_impulse_007,near_miss,AUDJPY.r,H1,minor,bullish,EWO is mixed around a choppy corrective basin not a clean bullish impulse signature,unclear,too_noisy,2,The five labels overfit local swings before the real later bullish expansion; context says transition not impulse.
41,near_miss_metals_xagusd_h1_minor_impulse_002,near_miss,XAGUSD.r,H1,minor,bullish,positive EWO confirms early rally strength but not a coherent five-wave completion,useful_for_momentum_only,too_noisy,2,The huge 2-3 leg is visually obvious but the post-3 collapse makes the 4-5 section poor for a bullish impulse.
42,near_miss_index_aus200_h1_minor_impulse_012,near_miss,AUS200,H1,minor,bearish,negative EWO supports the main selloff into wave 3 but wave 5 has little downside confirmation,useful_for_wave_role,promising_but_needs_review,3,Bearish setting is valid yet the selected minor pivots make the final leg look like a failed continuation.
43,near_miss_forex_audjpy_h1_major_impulse_007,near_miss,AUDJPY.r,H1,major,bullish,EWO maximum aligns with wave 3 and positive recovery supports wave 5 attempt,useful_for_wave_role,promising_but_needs_review,4,Good large bullish context after basing but the 0-1-2 setup is broad and wave 5 does not exceed wave 3.
44,near_miss_metals_xagusd_h1_major_impulse_006,near_miss,XAGUSD.r,H1,major,bullish,EWO supports the rally into wave 3 but not the weak lower-high wave 5,useful_for_momentum_only,too_noisy,3,The count captures a tradable upswing but EMAs and later selloff make it weak as a bullish impulse template.
45,near_miss_index_aus200_h1_major_impulse_006,near_miss,AUS200,H1,major,bearish,negative EWO confirms wave 3 selloff but rejects the final bearish continuation,useful_for_wave_role,not_supported,2,Bearish trend context is strong but this candidate is visually a failed fifth rather than a clean impulse.
46,hard_invalid_forex_audjpy_h1_intermediate_impulse_001,hard_invalid,AUDJPY.r,H1,intermediate,bullish,EWO supports the wave 3 high but cannot rescue wave 4 breaking the impulse geometry,useful_for_wave_role,usable_soft_rule,4,Strong negative example: attractive bullish peaks exist but the internal overlap makes the count invalid.
47,hard_invalid_metals_xagusd_h1_intermediate_impulse_001,hard_invalid,XAGUSD.r,H1,intermediate,bearish,EWO is positive into the invalid wave 2 spike then strongly negative into the selloff,useful_for_wave_role,usable_soft_rule,4,Excellent hard-invalid bearish example: the apparent selloff is real but the rebound high breaks the starting level.
48,hard_invalid_index_aus200_h1_intermediate_impulse_001,hard_invalid,AUS200,H1,intermediate,bullish,EWO fades before the labeled late highs and turns negative into the breakdown,useful_for_momentum_only,promising_but_needs_review,4,AUS200 labels mark a topping range above EMAs; the later selloff confirms this is not a defensible bullish impulse.
49,hard_invalid_forex_audjpy_h1_minor_impulse_001,hard_invalid,AUDJPY.r,H1,minor,bullish,EWO is not granular enough for the tiny 0-3 swings but later strength supports only the broad move,unclear,too_noisy,4,Useful negative at minor scale though the first four labels are noisy and visually compressed.
50,hard_invalid_metals_xagusd_h1_minor_impulse_001,hard_invalid,XAGUSD.r,H1,minor,bearish,EWO confirms directional volatility but not a stable minor five-wave bearish structure,useful_for_momentum_only,too_noisy,3,Hard invalid label is reasonable but as a rule example it is messy because pivots span opposite regimes.
51,hard_invalid_index_aus200_h1_minor_impulse_001,hard_invalid,AUS200,H1,minor,bullish,EWO loses upside support before the labeled final high and turns negative afterward,useful_for_momentum_only,promising_but_needs_review,4,Good invalid example for bullish counts in topping conditions; EMAs still look supportive but momentum disagrees.
52,hard_invalid_forex_audjpy_h1_major_impulse_001,hard_invalid,AUDJPY.r,H1,major,bullish,EWO identifies the real wave 3 strength and later recovery but wave 4 geometry invalidates the count,useful_for_wave_role,usable_soft_rule,4,Clear hard invalid: visually tempting bullish structure yet the deep fourth wave breaks the Elliott constraint.
53,hard_invalid_metals_xagusd_h1_major_impulse_001,hard_invalid,XAGUSD.r,H1,major,bearish,EWO positive into invalid wave 2 and deeply negative into wave 3 supports using momentum as context,useful_for_wave_role,usable_soft_rule,4,Strong negative example: the bearish move after wave 2 is real but the count must be rejected structurally.
54,hard_invalid_index_aus200_h1_major_impulse_001,hard_invalid,AUS200,H1,major,bullish,EWO gives weak support to the early bullish phase and then deteriorates before breakdown,useful_for_momentum_only,promising_but_needs_review,4,Useful hard invalid for major scale: the selected highs form distribution rather than a valid bullish impulse.
