candidate_order,candidate_id,review_category,suggested_initial_label,review_label,reviewer_notes,visual_quality_score,should_keep_for_methodology,suggested_action,review_options,chart_path,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,failure_reasons,source_table,source_id,example_id,start_time,end_time
11,impulse_exp252_index_aus200_h4_major_impulse_016,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\011_impulse_exp252_index_aus200_h4_major_impulse_016.png,Index,AUS200,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_index_aus200_h4_major_impulse_016,exp252_index_aus200_h4,2025-10-21 04:00:00,2025-11-21 00:00:00
12,impulse_exp252_forex_eurusd_h4_major_impulse_029,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\012_impulse_exp252_forex_eurusd_h4_major_impulse_029.png,Forex Majors,EURUSD.r,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp252_forex_eurusd_h4_major_impulse_029,exp252_forex_eurusd_h4,2026-02-23 00:00:00,2026-03-09 04:00:00
13,partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_forex_audjpy_h4_intermediate_partial123_002,exp252_forex_audjpy_h4,2025-08-20 16:00:00,2025-09-03 16:00:00
14,partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png,Metals,XAGUSD.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_metals_xagusd_h4_intermediate_partial123_002,exp252_metals_xagusd_h4,2025-08-20 08:00:00,2025-09-01 08:00:00
15,partial_123_exp252_index_aus200_h4_intermediate_partial123_001,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png,Index,AUS200,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_index_aus200_h4_intermediate_partial123_001,exp252_index_aus200_h4,2025-08-13 04:00:00,2025-08-25 00:00:00
16,partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_forex_audjpy_h4_intermediate_partial123_004,exp252_forex_audjpy_h4,2025-08-27 00:00:00,2025-09-12 12:00:00
17,partial_123_exp252_forex_audjpy_h4_minor_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_forex_audjpy_h4_minor_partial123_002,exp252_forex_audjpy_h4,2025-08-20 16:00:00,2025-08-28 00:00:00
18,partial_123_exp252_metals_xagusd_h4_minor_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png,Metals,XAGUSD.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_metals_xagusd_h4_minor_partial123_002,exp252_metals_xagusd_h4,2025-08-20 08:00:00,2025-08-28 20:00:00
19,partial_123_exp252_index_aus200_h4_minor_partial123_001,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,Index,AUS200,H4,minor,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_index_aus200_h4_minor_partial123_001,exp252_index_aus200_h4,2025-08-13 04:00:00,2025-08-25 00:00:00
20,partial_123_exp252_forex_audjpy_h4_minor_partial123_004,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_forex_audjpy_h4_minor_partial123_004,exp252_forex_audjpy_h4,2025-08-27 00:00:00,2025-09-03 16:00:00
21,partial_123_exp252_forex_audjpy_h4_major_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png,Forex Majors,AUDJPY.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_forex_audjpy_h4_major_partial123_002,exp252_forex_audjpy_h4,2025-08-20 16:00:00,2025-09-12 12:00:00
22,partial_123_exp252_metals_xagusd_h4_major_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png,Metals,XAGUSD.r,H4,major,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_metals_xagusd_h4_major_partial123_002,exp252_metals_xagusd_h4,2025-08-20 08:00:00,2025-09-03 16:00:00
23,partial_123_exp252_index_aus200_h4_major_partial123_001,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\023_partial_123_exp252_index_aus200_h4_major_partial123_001.png,Index,AUS200,H4,major,bullish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_index_aus200_h4_major_partial123_001,exp252_index_aus200_h4,2025-08-13 04:00:00,2025-08-25 00:00:00
24,partial_123_exp252_forex_audjpy_h4_major_partial123_005,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\024_partial_123_exp252_forex_audjpy_h4_major_partial123_005.png,Forex Majors,AUDJPY.r,H4,major,bearish,partial_123_candidate,partial_impulse_123,,partial_impulses,exp252_forex_audjpy_h4_major_partial123_005,exp252_forex_audjpy_h4,2025-09-12 12:00:00,2025-10-01 16:00:00
25,abc_exp252_forex_audjpy_h4_intermediate_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\025_abc_exp252_forex_audjpy_h4_intermediate_abc_002.png,Forex Majors,AUDJPY.r,H4,intermediate,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_forex_audjpy_h4_intermediate_abc_002,exp252_forex_audjpy_h4,2025-08-20 16:00:00,2025-09-03 16:00:00
26,abc_exp252_metals_xagusd_h4_intermediate_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\026_abc_exp252_metals_xagusd_h4_intermediate_abc_002.png,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_metals_xagusd_h4_intermediate_abc_002,exp252_metals_xagusd_h4,2025-08-20 08:00:00,2025-09-01 08:00:00
27,abc_exp252_index_aus200_h4_intermediate_abc_001,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\027_abc_exp252_index_aus200_h4_intermediate_abc_001.png,Index,AUS200,H4,intermediate,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_index_aus200_h4_intermediate_abc_001,exp252_index_aus200_h4,2025-08-13 04:00:00,2025-08-25 00:00:00
28,abc_exp252_forex_audjpy_h4_intermediate_abc_004,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\028_abc_exp252_forex_audjpy_h4_intermediate_abc_004.png,Forex Majors,AUDJPY.r,H4,intermediate,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_forex_audjpy_h4_intermediate_abc_004,exp252_forex_audjpy_h4,2025-08-27 00:00:00,2025-09-12 12:00:00
29,abc_exp252_forex_audjpy_h4_minor_abc_004,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\029_abc_exp252_forex_audjpy_h4_minor_abc_004.png,Forex Majors,AUDJPY.r,H4,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_forex_audjpy_h4_minor_abc_004,exp252_forex_audjpy_h4,2025-08-27 00:00:00,2025-09-03 16:00:00
30,abc_exp252_metals_xagusd_h4_minor_abc_004,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\030_abc_exp252_metals_xagusd_h4_minor_abc_004.png,Metals,XAGUSD.r,H4,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_metals_xagusd_h4_minor_abc_004,exp252_metals_xagusd_h4,2025-08-27 12:00:00,2025-09-01 08:00:00
31,abc_exp252_index_aus200_h4_minor_abc_001,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\031_abc_exp252_index_aus200_h4_minor_abc_001.png,Index,AUS200,H4,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_index_aus200_h4_minor_abc_001,exp252_index_aus200_h4,2025-08-13 04:00:00,2025-08-25 00:00:00
32,abc_exp252_forex_audjpy_h4_minor_abc_006,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\032_abc_exp252_forex_audjpy_h4_minor_abc_006.png,Forex Majors,AUDJPY.r,H4,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_forex_audjpy_h4_minor_abc_006,exp252_forex_audjpy_h4,2025-08-29 00:00:00,2025-09-12 12:00:00
33,abc_exp252_forex_audjpy_h4_major_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\033_abc_exp252_forex_audjpy_h4_major_abc_002.png,Forex Majors,AUDJPY.r,H4,major,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_forex_audjpy_h4_major_abc_002,exp252_forex_audjpy_h4,2025-08-20 16:00:00,2025-09-12 12:00:00
34,abc_exp252_metals_xagusd_h4_major_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\034_abc_exp252_metals_xagusd_h4_major_abc_002.png,Metals,XAGUSD.r,H4,major,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_metals_xagusd_h4_major_abc_002,exp252_metals_xagusd_h4,2025-08-20 08:00:00,2025-09-03 16:00:00
35,abc_exp252_index_aus200_h4_major_abc_001,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\035_abc_exp252_index_aus200_h4_major_abc_001.png,Index,AUS200,H4,major,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_index_aus200_h4_major_abc_001,exp252_index_aus200_h4,2025-08-13 04:00:00,2025-08-25 00:00:00
36,abc_exp252_forex_audjpy_h4_major_abc_005,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\abc\036_abc_exp252_forex_audjpy_h4_major_abc_005.png,Forex Majors,AUDJPY.r,H4,major,bearish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,exp252_forex_audjpy_h4_major_abc_005,exp252_forex_audjpy_h4,2025-09-12 12:00:00,2025-10-01 16:00:00
37,near_miss_exp252_forex_audjpy_h4_intermediate_impulse_004,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\037_near_miss_exp252_forex_audjpy_h4_intermediate_impulse_004.png,Forex Majors,AUDJPY.r,H4,intermediate,bullish,soft_impulse_near_miss,full_impulse_12345,wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,exp252_forex_audjpy_h4_intermediate_impulse_004,exp252_forex_audjpy_h4,2025-08-27 00:00:00,2025-09-16 00:00:00
38,near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\038_near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004.png,Metals,XAGUSD.r,H4,intermediate,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,exp252_metals_xagusd_h4_intermediate_impulse_004,exp252_metals_xagusd_h4,2025-08-27 12:00:00,2025-09-05 16:00:00
39,near_miss_exp252_index_aus200_h4_intermediate_impulse_001,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\039_near_miss_exp252_index_aus200_h4_intermediate_impulse_001.png,Index,AUS200,H4,intermediate,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,exp252_index_aus200_h4_intermediate_impulse_001,exp252_index_aus200_h4,2025-08-13 04:00:00,2025-08-29 04:00:00
