current_path,proposed_path,item_type,status,migration_priority,risk,requires_csv_path_rewrite,requires_md_update,requires_run_meta_update,safe_to_move,notes
artifacts\wavecount\05_guided_profile\phase2_5_1_guided_impulse_profile_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_1_guided_impulse_profile_2026-05-24,artifact_dir,canonical,high,medium,True,True,True,False,minimal guided impulse profile
artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24,artifact_dir,canonical,high,medium,True,True,True,False,controlled H4/D1 expansion
artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24,artifact_dir,auxiliary,high,medium,True,True,True,False,H1/H4 auxiliary and prominence
artifacts\wavecount\05_guided_profile\phase2_5_3_descriptive_stats_2026-05-24,artifacts\wavecount\05_guided_profile\phase2_5_3_descriptive_stats_2026-05-24,artifact_dir,canonical,high,medium,True,True,True,False,descriptive statistics
artifacts\wavecount\phase2_abc_fix_2026-05-20,artifacts/wavecount/04_context_and_corrections/phase2_abc_fix_2026-05-20,artifact_dir,diagnostic,medium,high,True,True,True,False,ABC plotting/ordering fix lineage
artifacts\wavecount\phase2_candidate_counts_2026-05-17,artifacts/wavecount/02_candidate_counts/phase2_base_counts_2026-05-17,artifact_dir,canonical,high,medium,False,True,True,False,base candidate counts
artifacts\wavecount\90_global_audits\reorg_plan_2026-05-24,artifacts\wavecount\90_global_audits\reorg_plan_2026-05-24,artifact_dir,canonical,high,medium,False,True,True,False,reorganization audit/proposal; no files moved
docs\WAVECOUNT_ARTIFACTS_MANIFEST.md,docs/wavecount/INDEX.md,doc,root_keep,low,medium,False,True,False,False,keep root index/audit
docs\WAVECOUNT_AUDITORIA_GLOBAL_2026-05-24.md,docs/wavecount/90_audits/WAVECOUNT_AUDITORIA_GLOBAL_2026-05-24.md,doc,root_keep,low,medium,False,True,False,False,keep root index/audit
docs\WAVECOUNT_FASE1_5_SWINGS.md,docs/wavecount/02_pivots_and_swings/WAVECOUNT_FASE1_5_SWINGS.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE1_6_GRADOS.md,docs/wavecount/02_pivots_and_swings/WAVECOUNT_FASE1_6_GRADOS.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE1_PIVOTES.md,docs/wavecount/02_pivots_and_swings/WAVECOUNT_FASE1_PIVOTES.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE1_REVISION_VISUAL.md,docs/wavecount/02_pivots_and_swings/WAVECOUNT_FASE1_REVISION_VISUAL.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_1_REVISION_INVALIDACIONES.md,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_1_REVISION_INVALIDACIONES.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_2_DIAGNOSTICO_IMPULSOS.md,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_2_DIAGNOSTICO_IMPULSOS.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_3_1_WAVE5_ENDPOINT.md,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_1_WAVE5_ENDPOINT.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_3_2_PARTIAL123.md,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_2_PARTIAL123.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_3_3_CALIBRACION_GRADOS.md,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_3_CALIBRACION_GRADOS.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_3_4_CIERRE_VISUAL_H4_D1.md,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_4_CIERRE_VISUAL_H4_D1.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_3_REVISION_MANUAL_H1_M30.md,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_REVISION_MANUAL_H1_M30.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_3_REVISION_VISUAL.md,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_REVISION_VISUAL.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_4_1_REVISION_VISUAL_CONTEXTO.md,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_1_REVISION_VISUAL_CONTEXTO.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_4_2_AUDITORIA_CONTEXTO_CALIDAD.md,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_2_AUDITORIA_CONTEXTO_CALIDAD.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_4_3_AUDITORIA_ABC.md,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_3_AUDITORIA_ABC.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_4_4_CORRECCIONES_CONTEXTUALES.md,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_4_CORRECCIONES_CONTEXTUALES.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_4_5_CIERRE_PRE_25.md,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_5_CIERRE_PRE_25.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_4_CONTEXTO_TECNICO.md,docs/wavecount/04_context_and_corrections/WAVECOUNT_FASE2_4_CONTEXTO_TECNICO.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_5_0_SCORING_CONTEXTO.md,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_0_SCORING_CONTEXTO.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_5_1_PERFIL_IMPULSO_GUIADO.md,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_1_PERFIL_IMPULSO_GUIADO.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_5_2B_H1_H4_AUXILIAR.md,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_2B_H1_H4_AUXILIAR.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_5_2_EXPANSION_IMPULSO_GUIADO.md,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_2_EXPANSION_IMPULSO_GUIADO.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_5_3_ESTADISTICA_DESCRIPTIVA.md,docs/wavecount/05_guided_profile/WAVECOUNT_FASE2_5_3_ESTADISTICA_DESCRIPTIVA.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FASE2_CONTEO_CANDIDATO.md,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_CONTEO_CANDIDATO.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_FORMALIZACION.md,docs/wavecount/01_formalizacion/WAVECOUNT_FORMALIZACION.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_H4_D1_2026-05-20.md,docs/wavecount/99_legacy/WAVECOUNT_H4_D1_2026-05-20.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_REAUDITORIA_VISUAL_COMPRIMIDA_2026-05-19.md,docs/wavecount/90_audits/WAVECOUNT_REAUDITORIA_VISUAL_COMPRIMIDA_2026-05-19.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_REORGANIZACION_PLAN_2026-05-24.md,docs/wavecount/90_audits/WAVECOUNT_REORGANIZACION_PLAN_2026-05-24.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
docs\WAVECOUNT_VISUALIZACION_EJE_COMPRIMIDO.md,docs/wavecount/99_legacy/WAVECOUNT_VISUALIZACION_EJE_COMPRIMIDO.md,doc,phase_doc,medium,medium,False,True,False,False,move only after creating redirects or index
backtests\wavecount\__init__.py,backtests/wavecount/utils_or_legacy/__init__.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_abc_quality_audit.py,backtests/wavecount/builders_or_audits/build_wavecount_abc_quality_audit.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_context_quality_audit.py,backtests/wavecount/builders_or_audits/build_wavecount_context_quality_audit.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_contextual_corrections_audit.py,backtests/wavecount/builders_or_audits/build_wavecount_contextual_corrections_audit.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_degree_calibration_audit.py,backtests/wavecount/builders_or_audits/build_wavecount_degree_calibration_audit.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_descriptive_stats.py,backtests/wavecount/builders_or_audits/build_wavecount_descriptive_stats.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_global_audit.py,backtests/wavecount/builders_or_audits/build_wavecount_global_audit.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_guided_context_score.py,backtests/wavecount/builders_or_audits/build_wavecount_guided_context_score.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_guided_impulse_expansion.py,backtests/wavecount/builders_or_audits/build_wavecount_guided_impulse_expansion.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_guided_impulse_profile.py,backtests/wavecount/builders_or_audits/build_wavecount_guided_impulse_profile.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_h1_h4_aux_expansion.py,backtests/wavecount/builders_or_audits/build_wavecount_h1_h4_aux_expansion.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_h4_d1_visual_closure.py,backtests/wavecount/builders_or_audits/build_wavecount_h4_d1_visual_closure.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_image_indexes.py,backtests/wavecount/builders_or_audits/build_wavecount_image_indexes.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_manual_feedback_h1_m30.py,backtests/wavecount/builders_or_audits/build_wavecount_manual_feedback_h1_m30.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_partial123.py,backtests/wavecount/builders_or_audits/build_wavecount_partial123.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_partial123_manual_update.py,backtests/wavecount/builders_or_audits/build_wavecount_partial123_manual_update.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_phase25_readiness.py,backtests/wavecount/builders_or_audits/build_wavecount_phase25_readiness.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_reorg_plan.py,backtests/wavecount/builders_or_audits/build_wavecount_reorg_plan.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_wave5_endpoint.py,backtests/wavecount/builders_or_audits/build_wavecount_wave5_endpoint.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\build_wavecount_wave5_interpretation_update.py,backtests/wavecount/builders_or_audits/build_wavecount_wave5_interpretation_update.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_abc_fix.py,backtests/wavecount/utils_or_legacy/wavecount_abc_fix.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_compressed_reaudit.py,backtests/wavecount/utils_or_legacy/wavecount_compressed_reaudit.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_config.py,backtests/wavecount/core/wavecount_config.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_context.py,backtests/wavecount/core/wavecount_context.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_context_gallery.py,backtests/wavecount/galleries/wavecount_context_gallery.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_context_visual_audit.py,backtests/wavecount/utils_or_legacy/wavecount_context_visual_audit.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_counts.py,backtests/wavecount/core/wavecount_counts.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_counts_gallery.py,backtests/wavecount/galleries/wavecount_counts_gallery.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_counts_review.py,backtests/wavecount/utils_or_legacy/wavecount_counts_review.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_counts_review_gallery.py,backtests/wavecount/galleries/wavecount_counts_review_gallery.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_degrees.py,backtests/wavecount/core/wavecount_degrees.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_degrees_gallery.py,backtests/wavecount/galleries/wavecount_degrees_gallery.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_gallery.py,backtests/wavecount/galleries/wavecount_gallery.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_h4_d1_gallery.py,backtests/wavecount/galleries/wavecount_h4_d1_gallery.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_h4_d1_visual_audit.py,backtests/wavecount/utils_or_legacy/wavecount_h4_d1_visual_audit.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_impulse_diagnostics.py,backtests/wavecount/utils_or_legacy/wavecount_impulse_diagnostics.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_impulse_diagnostics_gallery.py,backtests/wavecount/galleries/wavecount_impulse_diagnostics_gallery.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_partial123.py,backtests/wavecount/utils_or_legacy/wavecount_partial123.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_pivots.py,backtests/wavecount/core/wavecount_pivots.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_plotting.py,backtests/wavecount/core/wavecount_plotting.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_structure.py,backtests/wavecount/core/wavecount_structure.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_structure_gallery.py,backtests/wavecount/galleries/wavecount_structure_gallery.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_visual_review_gallery.py,backtests/wavecount/galleries/wavecount_visual_review_gallery.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
backtests\wavecount\wavecount_wave5_endpoint.py,backtests/wavecount/utils_or_legacy/wavecount_wave5_endpoint.py,code,stable_flat_code,defer,high,False,False,False,False,defer code movement; imports/tests would need rewrite
