candidate_id,phase25_abc_policy_previous,contextual_policy,should_enter_phase25_as_context,should_user_review,notes,reviewed_chart_path
abc_forex_audjpy_h1_intermediate_abc_009,usable_only_manual_review,exclude_not_correction,no,yes,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_025_abc_forex_audjpy_h1_intermediate_abc_009.png
abc_metals_xagusd_h1_intermediate_abc_003,usable_as_soft_context,usable_contextual_correction,yes,yes,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png
abc_index_aus200_h1_intermediate_abc_004,usable_only_manual_review,manual_contextual_review_only,no,yes,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_027_abc_index_aus200_h1_intermediate_abc_004.png
abc_forex_audjpy_h1_intermediate_abc_011,usable_only_manual_review,exclude_not_correction,no,yes,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_028_abc_forex_audjpy_h1_intermediate_abc_011.png
abc_forex_audjpy_h1_minor_abc_007,keep_experimental,experimental_unknown_parent,no,no,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_029_abc_forex_audjpy_h1_minor_abc_007.png
abc_metals_xagusd_h1_minor_abc_002,keep_experimental,experimental_unknown_parent,no,no,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_030_abc_metals_xagusd_h1_minor_abc_002.png
abc_index_aus200_h1_minor_abc_006,keep_experimental,manual_contextual_review_only,no,yes,"Previous=keep_experimental; visual=ambiguous_correction; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_031_abc_index_aus200_h1_minor_abc_006.png
abc_forex_audjpy_h1_minor_abc_013,keep_experimental,exclude_not_correction,no,yes,"Previous=keep_experimental; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_032_abc_forex_audjpy_h1_minor_abc_013.png
abc_forex_audjpy_h1_major_abc_007,usable_only_manual_review,exclude_not_correction,no,yes,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_033_abc_forex_audjpy_h1_major_abc_007.png
abc_metals_xagusd_h1_major_abc_006,usable_as_soft_context,usable_contextual_correction,yes,yes,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=yes_but_needs_manual_validation. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_034_abc_metals_xagusd_h1_major_abc_006.png
abc_index_aus200_h1_major_abc_002,usable_as_soft_context,usable_contextual_correction,yes,yes,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_035_abc_index_aus200_h1_major_abc_002.png
abc_forex_eurusd_h1_major_abc_002,usable_as_soft_context,manual_contextual_review_only,no,yes,"Previous=usable_as_soft_context; visual=clean_abc; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_036_abc_forex_eurusd_h1_major_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,keep_experimental,exclude_not_correction,no,yes,"Previous=keep_experimental; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_metals_xagusd_h4_intermediate_abc_003.png
abc_forex_gbpusd_h1_minor_abc_002,keep_experimental,experimental_unknown_parent,no,no,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_minor_abc_002.png
abc_forex_gbpusd_h1_intermediate_abc_002,usable_only_manual_review,experimental_unknown_parent,no,no,"Previous=usable_only_manual_review; visual=plausible_abc; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_intermediate_abc_002.png
abc_forex_gbpusd_h1_major_abc_003,usable_as_soft_context,manual_contextual_review_only,no,yes,"Previous=usable_as_soft_context; visual=clean_abc; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_forex_gbpusd_h1_major_abc_003.png
abc_metals_xagusd_h1_minor_abc_002,keep_experimental,experimental_unknown_parent,no,no,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_metals_xagusd_h1_minor_abc_002.png
