candidate_id,parent_context_status,parent_candidate_id,parent_wave_context,parent_direction,parent_gap_bars,abc_direction,abc_vs_parent_direction,notes,reviewed_chart_path
abc_index_aus200_h4_major_abc_006,direct_parent_candidate,partial_123_index_aus200_h4_minor_partial123_005,prior_partial_123,bullish,0.0,bearish,counter_parent,"Previous=usable_only_manual_review; visual=ambiguous_correction; Parent from h4_d1_visual_closure; category=partial_123; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_035_abc_index_aus200_h4_major_abc_006.png
abc_forex_audjpy_h4_major_abc_005,distant_parent_candidate,impulse_forex_audjpy_h4_minor_impulse_005,prior_full_impulse,bullish,55.0,bullish,with_parent,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=impulse; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_036_abc_forex_audjpy_h4_major_abc_005.png
abc_forex_audjpy_h1_intermediate_abc_009,distant_parent_candidate,partial_123_forex_audjpy_h1_minor_partial123_007,prior_partial_123,bullish,42.0,bullish,with_parent,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_025_abc_forex_audjpy_h1_intermediate_abc_009.png
abc_metals_xagusd_h1_intermediate_abc_003,direct_parent_candidate,partial_123_metals_xagusd_h1_minor_partial123_002,prior_partial_123,bullish,0.0,bearish,counter_parent,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png
abc_index_aus200_h1_intermediate_abc_004,direct_parent_candidate,partial_123_index_aus200_h1_intermediate_partial123_001,prior_partial_123,bullish,0.0,bearish,counter_parent,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_027_abc_index_aus200_h1_intermediate_abc_004.png
abc_forex_audjpy_h1_intermediate_abc_011,distant_parent_candidate,partial_123_forex_audjpy_h1_minor_partial123_007,prior_partial_123,bullish,100.0,bullish,with_parent,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_028_abc_forex_audjpy_h1_intermediate_abc_011.png
abc_forex_audjpy_h1_minor_abc_007,no_clear_parent,,unknown_parent_context,,,bullish,unknown_parent_direction,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_029_abc_forex_audjpy_h1_minor_abc_007.png
abc_metals_xagusd_h1_minor_abc_002,no_clear_parent,,unknown_parent_context,,,bullish,unknown_parent_direction,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_030_abc_metals_xagusd_h1_minor_abc_002.png
abc_index_aus200_h1_minor_abc_006,distant_parent_candidate,partial_123_index_aus200_h1_intermediate_partial123_001,prior_partial_123,bullish,68.0,bearish,counter_parent,"Previous=keep_experimental; visual=ambiguous_correction; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_031_abc_index_aus200_h1_minor_abc_006.png
abc_forex_audjpy_h1_minor_abc_013,distant_parent_candidate,partial_123_forex_audjpy_h1_minor_partial123_007,prior_partial_123,bullish,42.0,bullish,with_parent,"Previous=keep_experimental; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_032_abc_forex_audjpy_h1_minor_abc_013.png
abc_forex_audjpy_h1_major_abc_007,distant_parent_candidate,partial_123_forex_audjpy_h1_minor_partial123_007,prior_partial_123,bullish,21.0,bullish,with_parent,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_033_abc_forex_audjpy_h1_major_abc_007.png
abc_metals_xagusd_h1_major_abc_006,distant_parent_candidate,partial_123_metals_xagusd_h1_intermediate_partial123_003,prior_partial_123,bearish,60.0,bullish,counter_parent,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=yes_but_needs_manual_validation. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_034_abc_metals_xagusd_h1_major_abc_006.png
abc_index_aus200_h1_major_abc_002,direct_parent_candidate,partial_123_index_aus200_h1_intermediate_partial123_001,prior_partial_123,bullish,0.0,bearish,counter_parent,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_035_abc_index_aus200_h1_major_abc_002.png
abc_forex_eurusd_h1_major_abc_002,no_clear_parent,,unknown_parent_context,,,bearish,unknown_parent_direction,"Previous=usable_as_soft_context; visual=clean_abc; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_036_abc_forex_eurusd_h1_major_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,htf_regime_context_only,,htf_regime_context,bullish,,bullish,with_parent,"Previous=keep_experimental; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_metals_xagusd_h4_intermediate_abc_003.png
abc_forex_gbpusd_h1_minor_abc_002,no_clear_parent,,unknown_parent_context,,,bearish,unknown_parent_direction,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_minor_abc_002.png
abc_forex_gbpusd_h1_intermediate_abc_002,no_clear_parent,,unknown_parent_context,,,bearish,unknown_parent_direction,"Previous=usable_only_manual_review; visual=plausible_abc; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_intermediate_abc_002.png
abc_forex_gbpusd_h1_major_abc_003,no_clear_parent,,unknown_parent_context,,,bullish,unknown_parent_direction,"Previous=usable_as_soft_context; visual=clean_abc; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_forex_gbpusd_h1_major_abc_003.png
abc_metals_xagusd_h1_minor_abc_002,no_clear_parent,,unknown_parent_context,,,bullish,unknown_parent_direction,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_metals_xagusd_h1_minor_abc_002.png
