candidate_id,abc_visual_status,phase25_abc_policy_previous,correction_role,contextual_correction_quality,contextual_policy,notes,reviewed_chart_path
abc_index_aus200_h4_major_abc_006,ambiguous_correction,usable_only_manual_review,possible_wave4_correction,medium,manual_contextual_review_only,"Previous=usable_only_manual_review; visual=ambiguous_correction; Parent from h4_d1_visual_closure; category=partial_123; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_035_abc_index_aus200_h4_major_abc_006.png
abc_forex_audjpy_h4_major_abc_005,not_clean_abc,keep_experimental,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=keep_experimental; visual=not_clean_abc; Parent from h4_d1_visual_closure; category=impulse; decision=keep_as_ambiguous_example. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_036_abc_forex_audjpy_h4_major_abc_005.png
abc_forex_audjpy_h1_intermediate_abc_009,plausible_abc,usable_only_manual_review,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_025_abc_forex_audjpy_h1_intermediate_abc_009.png
abc_metals_xagusd_h1_intermediate_abc_003,clean_abc,usable_as_soft_context,possible_wave4_correction,strong,usable_contextual_correction,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png
abc_index_aus200_h1_intermediate_abc_004,plausible_abc,usable_only_manual_review,possible_wave4_correction,medium,manual_contextual_review_only,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_027_abc_index_aus200_h1_intermediate_abc_004.png
abc_forex_audjpy_h1_intermediate_abc_011,plausible_abc,usable_only_manual_review,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_028_abc_forex_audjpy_h1_intermediate_abc_011.png
abc_forex_audjpy_h1_minor_abc_007,ambiguous_correction,keep_experimental,unknown_correction_role,weak,experimental_unknown_parent,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_029_abc_forex_audjpy_h1_minor_abc_007.png
abc_metals_xagusd_h1_minor_abc_002,ambiguous_correction,keep_experimental,unknown_correction_role,weak,experimental_unknown_parent,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_030_abc_metals_xagusd_h1_minor_abc_002.png
abc_index_aus200_h1_minor_abc_006,ambiguous_correction,keep_experimental,possible_wave4_correction,medium,manual_contextual_review_only,"Previous=keep_experimental; visual=ambiguous_correction; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_031_abc_index_aus200_h1_minor_abc_006.png
abc_forex_audjpy_h1_minor_abc_013,plausible_abc,keep_experimental,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=keep_experimental; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_032_abc_forex_audjpy_h1_minor_abc_013.png
abc_forex_audjpy_h1_major_abc_007,plausible_abc,usable_only_manual_review,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=usable_only_manual_review; visual=plausible_abc; Parent from aux_context_quality; category=partial_123; decision=no_context_only. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_033_abc_forex_audjpy_h1_major_abc_007.png
abc_metals_xagusd_h1_major_abc_006,clean_abc,usable_as_soft_context,possible_wave4_correction,strong,usable_contextual_correction,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=yes_but_needs_manual_validation. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_034_abc_metals_xagusd_h1_major_abc_006.png
abc_index_aus200_h1_major_abc_002,clean_abc,usable_as_soft_context,possible_wave4_correction,strong,usable_contextual_correction,"Previous=usable_as_soft_context; visual=clean_abc; Parent from aux_context_quality; category=partial_123; decision=no_misleading. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_035_abc_index_aus200_h1_major_abc_002.png
abc_forex_eurusd_h1_major_abc_002,clean_abc,usable_as_soft_context,unknown_correction_role,medium,manual_contextual_review_only,"Previous=usable_as_soft_context; visual=clean_abc; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_036_abc_forex_eurusd_h1_major_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,not_clean_abc,keep_experimental,not_a_correction_impulsive_sequence,rejected,exclude_not_correction,"Previous=keep_experimental; visual=not_clean_abc; Uses HTF regime only; trend_context_label=impulse_with_htf; htf_trend_state=bullish_alignment. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_metals_xagusd_h4_intermediate_abc_003.png
abc_forex_gbpusd_h1_minor_abc_002,ambiguous_correction,keep_experimental,unknown_correction_role,weak,experimental_unknown_parent,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_minor_abc_002.png
abc_forex_gbpusd_h1_intermediate_abc_002,plausible_abc,usable_only_manual_review,unknown_correction_role,weak,experimental_unknown_parent,"Previous=usable_only_manual_review; visual=plausible_abc; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_intermediate_abc_002.png
abc_forex_gbpusd_h1_major_abc_003,clean_abc,usable_as_soft_context,unknown_correction_role,medium,manual_contextual_review_only,"Previous=usable_as_soft_context; visual=clean_abc; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_forex_gbpusd_h1_major_abc_003.png
abc_metals_xagusd_h1_minor_abc_002,ambiguous_correction,keep_experimental,unknown_correction_role,weak,experimental_unknown_parent,"Previous=keep_experimental; visual=ambiguous_correction; No same-symbol/timeframe prior impulse/partial and no usable HTF direction. Role is hypothesis, not signal.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_metals_xagusd_h1_minor_abc_002.png
