candidate_id,correction_role,alternation_quality,alternation_notes,reviewed_chart_path
abc_index_aus200_h4_major_abc_006,possible_wave4_correction,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_035_abc_index_aus200_h4_major_abc_006.png
abc_forex_audjpy_h4_major_abc_005,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_036_abc_forex_audjpy_h4_major_abc_005.png
abc_forex_audjpy_h1_intermediate_abc_009,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_025_abc_forex_audjpy_h1_intermediate_abc_009.png
abc_metals_xagusd_h1_intermediate_abc_003,possible_wave4_correction,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png
abc_index_aus200_h1_intermediate_abc_004,possible_wave4_correction,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_027_abc_index_aus200_h1_intermediate_abc_004.png
abc_forex_audjpy_h1_intermediate_abc_011,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_028_abc_forex_audjpy_h1_intermediate_abc_011.png
abc_forex_audjpy_h1_minor_abc_007,unknown_correction_role,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_029_abc_forex_audjpy_h1_minor_abc_007.png
abc_metals_xagusd_h1_minor_abc_002,unknown_correction_role,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_030_abc_metals_xagusd_h1_minor_abc_002.png
abc_index_aus200_h1_minor_abc_006,possible_wave4_correction,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_031_abc_index_aus200_h1_minor_abc_006.png
abc_forex_audjpy_h1_minor_abc_013,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_032_abc_forex_audjpy_h1_minor_abc_013.png
abc_forex_audjpy_h1_major_abc_007,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_033_abc_forex_audjpy_h1_major_abc_007.png
abc_metals_xagusd_h1_major_abc_006,possible_wave4_correction,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_034_abc_metals_xagusd_h1_major_abc_006.png
abc_index_aus200_h1_major_abc_002,possible_wave4_correction,unknown,"Possible wave-4 context, but current artifacts do not expose a comparable confirmed wave-2 correction for alternation.",artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_035_abc_index_aus200_h1_major_abc_002.png
abc_forex_eurusd_h1_major_abc_002,unknown_correction_role,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_036_abc_forex_eurusd_h1_major_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,not_a_correction_impulsive_sequence,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_metals_xagusd_h4_intermediate_abc_003.png
abc_forex_gbpusd_h1_minor_abc_002,unknown_correction_role,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_minor_abc_002.png
abc_forex_gbpusd_h1_intermediate_abc_002,unknown_correction_role,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_intermediate_abc_002.png
abc_forex_gbpusd_h1_major_abc_003,unknown_correction_role,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_forex_gbpusd_h1_major_abc_003.png
abc_metals_xagusd_h1_minor_abc_002,unknown_correction_role,not_applicable,No comparable wave-2/wave-4 pair in this contextual audit.,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_metals_xagusd_h1_minor_abc_002.png
