phase,candidate_order,candidate_id,review_category,swing_degree,chart_path,visual_count_status,visual_quality_score,degree_fit,likely_problem_if_any,should_user_review,user_review_priority,suggested_action,good_example_rank,visual_notes,chart_path_absolute
phase2_3_visual_review,11,impulse_index_aus200_h1_major_impulse_010,impulse,major,charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png,excellent_example,5,good,,no,low,use_as_good_example,,Good major bearish impulse: balanced pivots and wave 5 reaches a new low before rebound.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png
phase2_3_visual_review,12,impulse_index_hk50_m30_major_impulse_003,impulse,major,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,plausible_but_needs_review,3,mixed,wave 5 ends before a lower later low; possible premature finish,yes,medium,review_manually,,"The 0-5 structure exists, but it is not the most natural end of the whole bearish swing.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png
phase2_3_visual_review,13,partial_123_forex_audjpy_h1_intermediate_partial123_009,partial_123,intermediate,charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png,excellent_example,5,good,,no,low,use_as_good_example,,Clean bullish 1-2-3 partial; wave 2 respects origin and wave 3 breaks with visible continuity.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png
phase2_3_visual_review,14,partial_123_metals_xagusd_h1_intermediate_partial123_003,partial_123,intermediate,charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png,excellent_example,5,good,,no,low,use_as_good_example,2,"Very clear bearish partial: 0 high, strong wave 1 decline, clear wave 2 rebound and broad wave 3 extension.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png
phase2_3_visual_review,15,partial_123_index_aus200_h1_intermediate_partial123_001,partial_123,intermediate,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,too_micro,2,too_micro,"the 1-2-3 is a small topping zigzag, not a convincing intermediate launch",yes,high,use_as_negative_example,,Wave 3 barely exceeds wave 1 and price reverses strongly right after.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png
phase2_3_visual_review,16,partial_123_forex_audjpy_h1_intermediate_partial123_011,partial_123,intermediate,charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png,excellent_example,5,good,,no,low,use_as_good_example,,"Very clean bullish 1-2-3 partial: visible wave 1, ordered wave 2 and wave 3 reaches the main high.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png
phase2_3_visual_review,17,partial_123_forex_audjpy_h1_minor_partial123_007,partial_123,minor,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,ambiguous,2,mixed,wave 3 barely improves on wave 1; looks more like corrective range than impulsive start,yes,medium,use_as_ambiguous_example,,"Fits minor degree, but lacks visual breakout after wave 2.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png
phase2_3_visual_review,18,partial_123_metals_xagusd_h1_minor_partial123_002,partial_123,minor,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,visually_defensible,4,mixed,"0-3 is clear, but wave 3 acts as a terminal top before a strong decline",yes,medium,review_manually,,"Good geometric 1-2-3, but not ideal as a clean continuation template.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png
phase2_3_visual_review,19,partial_123_index_aus200_h1_minor_partial123_001,partial_123,minor,charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,excellent_example,5,good,,no,low,use_as_good_example,,Clean bullish 0-1-2-3; wave 2 is proportional and wave 3 marks a clear high before reversal.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png
phase2_3_visual_review,20,partial_123_forex_audjpy_h1_minor_partial123_013,partial_123,minor,charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png,visually_defensible,4,good,pivots 1 and 2 are close and small versus 2-3,no,low,use_as_good_example,,"Defensible bullish 1-2-3; compact start, but wave 3 breaks clearly and minor degree fits.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png
phase2_3_visual_review,21,partial_123_forex_audjpy_h1_major_partial123_007,partial_123,major,charts\partials\021_partial_123_forex_audjpy_h1_major_partial123_007.png,excellent_example,5,good,,no,low,use_as_good_example,2,Very clear major bullish 1-2-3; 0-1-2 prepares a broad impulse into wave 3 without forced pivots.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\021_partial_123_forex_audjpy_h1_major_partial123_007.png
phase2_3_visual_review,22,partial_123_metals_xagusd_h1_major_partial123_006,partial_123,major,charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png,excellent_example,5,good,,no,low,use_as_good_example,,"Clear major bullish 1-2-3; 0 is a visible bottom, 2 respects structure, and 3 completes a clean advance.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png
phase2_3_visual_review,23,partial_123_index_aus200_h1_major_partial123_002,partial_123,major,charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png,excellent_example,5,good,,no,low,use_as_good_example,1,"Very clean major bearish 1-2-3; 0 high, wave 1 decline, wave 2 pullback, and wave 3 new low.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png
phase2_3_visual_review,24,partial_123_forex_eurusd_h1_major_partial123_002,partial_123,major,charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png,excellent_example,5,good,,no,low,use_as_good_example,3,Clear bearish 1-2-3; major swings are coherent and wave 3 is visually well supported.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png
phase2_3_visual_review,25,abc_forex_audjpy_h1_abc_009,abc,intermediate,charts\abc\025_abc_forex_audjpy_h1_abc_009.png,plausible_but_needs_review,3,mixed,multiple ABC sequences overlap and the exact candidate is not isolated,yes,high,review_manually,,"The central ABC is plausible, but too many crossed labels make it weak as clean evidence.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\025_abc_forex_audjpy_h1_abc_009.png
phase2_3_visual_review,26,abc_metals_xagusd_h1_abc_003,abc,intermediate,charts\abc\026_abc_metals_xagusd_h1_abc_003.png,ambiguous,2,unclear,repeated A/B/C paths and crossed diagonals prevent isolating the sequence,yes,high,do_not_use_for_rules,,ABC reading is unreliable in this image; labels dominate the visual structure.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\026_abc_metals_xagusd_h1_abc_003.png
phase2_3_visual_review,27,abc_index_aus200_h1_abc_004,abc,intermediate,charts\abc\027_abc_index_aus200_h1_abc_004.png,ambiguous,2,unclear,several bearish ABC routes overlap and target leg is not unambiguous,yes,high,do_not_use_for_rules,,"A broad bearish move exists, but repeated labels make the exact count ambiguous.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\027_abc_index_aus200_h1_abc_004.png
phase2_3_visual_review,28,abc_forex_audjpy_h1_abc_011,abc,intermediate,charts\abc\028_abc_forex_audjpy_h1_abc_011.png,visually_defensible,4,good,"extra overlays remain, though the main right-side ABC is traceable",yes,low,review_manually,,"Defensible intermediate bullish ABC, but it needs a cleaner isolated chart.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\028_abc_forex_audjpy_h1_abc_011.png
phase2_3_visual_review,29,abc_forex_audjpy_h1_abc_007,abc,minor,charts\abc\029_abc_forex_audjpy_h1_abc_007.png,plausible_but_needs_review,3,mixed,minor ABC is plausible but many close labels cross the same area,yes,medium,use_as_ambiguous_example,,"Useful for discussing overlap, too busy for a good positive example.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\029_abc_forex_audjpy_h1_abc_007.png
phase2_3_visual_review,30,abc_metals_xagusd_h1_abc_002,abc,minor,charts\abc\030_abc_metals_xagusd_h1_abc_002.png,too_coarse,2,too_coarse,"for minor degree, it covers too large a silver swing with contradictory ABC labels",yes,high,use_as_negative_example,,Visible movement is larger than minor; overlapping paths argue against positive rule use.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\030_abc_metals_xagusd_h1_abc_002.png
phase2_3_visual_review,31,abc_index_aus200_h1_abc_006,abc,minor,charts\abc\031_abc_index_aus200_h1_abc_006.png,too_coarse,2,too_coarse,minor count covers a broad selloff and C is far from a local oscillation,yes,high,use_as_negative_example,,Too large for minor and repeated A/B labels make the reading forced.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\031_abc_index_aus200_h1_abc_006.png
phase2_3_visual_review,32,abc_forex_audjpy_h1_abc_013,abc,minor,charts\abc\032_abc_forex_audjpy_h1_abc_013.png,plausible_but_needs_review,3,mixed,bullish ABC is plausible but closer to intermediate scale; crossed diagonals remain,yes,medium,use_as_ambiguous_example,,"0-A-B-C can be understood, but not clean enough for a positive example.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\032_abc_forex_audjpy_h1_abc_013.png
phase2_3_visual_review,33,abc_metals_xagusd_h1_abc_006,abc,major,charts\abc\033_abc_metals_xagusd_h1_abc_006.png,visually_defensible,4,good,main candidate is readable but overlaps with previous ABC overlays,yes,low,review_manually,,"Defensible major bullish ABC from the March low to C, but needs an isolated chart.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\033_abc_metals_xagusd_h1_abc_006.png
phase2_3_visual_review,34,abc_index_aus200_h1_abc_002,abc,major,charts\abc\034_abc_index_aus200_h1_abc_002.png,visually_defensible,4,good,"previous A/B labels repeat, though main bearish ABC is visible",yes,low,review_manually,,"Major bearish leg into C is coherent, but not as clean as the partial 1-2-3 cases.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\034_abc_index_aus200_h1_abc_002.png
phase2_3_visual_review,35,abc_forex_eurusd_h1_abc_002,abc,major,charts\abc\035_abc_forex_eurusd_h1_abc_002.png,ambiguous,2,mixed,too many repeated routes and labels; A/B/C is not isolated reliably,yes,high,do_not_use_for_rules,,"Bearish context exists, but the image cannot support a single clear ABC.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\035_abc_forex_eurusd_h1_abc_002.png
phase2_3_visual_review,36,abc_forex_gbpusd_h1_abc_003,abc,major,charts\abc\036_abc_forex_gbpusd_h1_abc_003.png,visually_defensible,4,good,"right-side major ABC is legible, but early overlays pollute the view",yes,medium,review_manually,,"Defensible 0-A-B-C from March low, useful only if reviewed in a cleaner isolated chart.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\036_abc_forex_gbpusd_h1_abc_003.png
phase2_3_visual_review,37,near_miss_forex_audjpy_h1_intermediate_impulse_011,near_miss,intermediate,charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,visually_defensible,4,good,wave 4 enters wave 1 territory and wave 5 remains below wave 3,yes,medium,use_as_ambiguous_example,,Broad and legible count; good bullish near-miss due to truncation and fourth-wave overlap.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png
phase2_3_visual_review,38,near_miss_metals_xagusd_h1_intermediate_impulse_003,near_miss,intermediate,charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png,visually_defensible,4,good,wave 4 overlaps wave 1 and wave 5 does not break the wave 3 extreme,yes,medium,use_as_ambiguous_example,,Readable bearish sequence; good near-miss although truncated fifth reduces impulse quality.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png
phase2_3_visual_review,39,near_miss_index_aus200_h1_intermediate_impulse_008,near_miss,intermediate,charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png,plausible_but_needs_review,3,mixed,wave 3 dominates and wave 5 is a small reaction rather than continuation,yes,high,review_manually,,"Bearish count is understandable, but it feels like rebound after a strong leg rather than clean full impulse.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png
phase2_3_visual_review,40,near_miss_forex_audjpy_h1_minor_impulse_007,near_miss,minor,charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png,visually_forced,2,mixed,lateral/corrective segment; wave 5 adds no clear extension,yes,low,use_as_negative_example,,Too fitted inside range noise; do not use for positive rules.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png
phase2_3_visual_review,41,near_miss_metals_xagusd_h1_minor_impulse_002,near_miss,minor,charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png,plausible_but_needs_review,3,too_coarse,wave 3 absorbs nearly the whole move and wave 5 is weak versus the later turn,yes,medium,review_manually,,"Interesting near-miss, but too dependent on one dominant swing for minor degree.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png
phase2_3_visual_review,42,near_miss_index_aus200_h1_minor_impulse_012,near_miss,minor,charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png,visually_defensible,4,good,"wave 5 does not exceed wave 3, leaving a truncated structure",yes,medium,use_as_ambiguous_example,,Good compact bearish near-miss; failed fifth is visible without indicators.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png
phase2_3_visual_review,43,near_miss_forex_audjpy_h1_major_impulse_007,near_miss,major,charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png,visually_defensible,4,good,wave 4 retraces deeply and wave 5 stays below wave 3,yes,medium,use_as_ambiguous_example,,Broad major reading; useful as almost-valid but truncated impulse.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png
phase2_3_visual_review,44,near_miss_metals_xagusd_h1_major_impulse_006,near_miss,major,charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png,visually_defensible,4,good,wave 4 invades wave 1 and wave 5 does not reach wave 3 high,yes,medium,use_as_ambiguous_example,,One of the clearest near-misses; main swings are well separated.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png
phase2_3_visual_review,45,near_miss_index_aus200_h1_major_impulse_006,near_miss,major,charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png,visually_defensible,4,good,wave 4 overlaps wave 1 and wave 5 fails before wave 3 extreme,yes,medium,use_as_ambiguous_example,,Clean major bearish near-miss; good ambiguous case.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png
phase2_3_visual_review,46,hard_invalid_forex_audjpy_h1_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\046_hard_invalid_forex_audjpy_h1_intermediate_impulse_001.png,hard_invalid_correct,5,good,wave 2 breaks origin and wave 4 invalidates again,no,low,use_as_negative_example,,Very clear negative; no defensible impulse despite readable swings.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\invalidations\046_hard_invalid_forex_audjpy_h1_intermediate_impulse_001.png
phase2_3_visual_review,47,hard_invalid_metals_xagusd_h1_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\047_hard_invalid_metals_xagusd_h1_intermediate_impulse_001.png,hard_invalid_correct,5,good,wave 2 exceeds origin and there are multiple strong overlaps,no,low,use_as_negative_example,,Excellent negative control; invalidation is directly visible in price and labels.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\invalidations\047_hard_invalid_metals_xagusd_h1_intermediate_impulse_001.png
phase2_3_visual_review,48,hard_invalid_index_aus200_h1_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\048_hard_invalid_index_aus200_h1_intermediate_impulse_001.png,hard_invalid_correct,4,mixed,more topping range than impulse; wave 3 is short and wave 5 fails,no,low,use_as_negative_example,,"Good negative, less clean as intermediate because labeled region is congestion.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\invalidations\048_hard_invalid_index_aus200_h1_intermediate_impulse_001.png
phase2_3_visual_review,49,hard_invalid_forex_audjpy_h1_minor_impulse_001,hard_invalid,minor,charts\invalidations\049_hard_invalid_forex_audjpy_h1_minor_impulse_001.png,hard_invalid_correct,4,mixed,wave 4 breaks impulse reading and mixes unequal swing sizes,no,low,use_as_negative_example,,"Clear negative; useful, though early waves and 4-5 have different scale.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\invalidations\049_hard_invalid_forex_audjpy_h1_minor_impulse_001.png
phase2_3_visual_review,50,hard_invalid_metals_xagusd_h1_minor_impulse_001,hard_invalid,minor,charts\invalidations\050_hard_invalid_metals_xagusd_h1_minor_impulse_001.png,hard_invalid_correct,5,good,wave 3 does not exceed wave 1 and wave 4 breaks impulse logic,no,low,use_as_negative_example,,Very good minor negative control; labels show several violations clearly.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\invalidations\050_hard_invalid_metals_xagusd_h1_minor_impulse_001.png
phase2_3_visual_review,51,hard_invalid_index_aus200_h1_minor_impulse_001,hard_invalid,minor,charts\invalidations\051_hard_invalid_index_aus200_h1_minor_impulse_001.png,hard_invalid_correct,4,good,wave 3 is short and wave 5 does not confirm a new extreme,no,low,use_as_negative_example,,Valid negative; reads as topping range more than impulse.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\invalidations\051_hard_invalid_index_aus200_h1_minor_impulse_001.png
phase2_3_visual_review,52,hard_invalid_forex_audjpy_h1_major_impulse_001,hard_invalid,major,charts\invalidations\052_hard_invalid_forex_audjpy_h1_major_impulse_001.png,hard_invalid_correct,5,good,wave 2 breaks origin and wave 5 does not exceed wave 3,no,low,use_as_negative_example,,Very clear major negative; scale and pivots fit well for demonstrating invalidation.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\invalidations\052_hard_invalid_forex_audjpy_h1_major_impulse_001.png
