phase,candidate_order,candidate_id,review_category,swing_degree,context_chart_path,context_review_status,ema_usefulness,ewo_usefulness,htf_ltf_usefulness,context_changes_phase23_reading,should_user_review,user_review_priority,suggested_action,good_context_example_rank,visual_notes,context_chart_path_absolute
phase2_4_context,11,impulse_index_aus200_h1_major_impulse_010,impulse,major,charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png,context_partially_supports,useful,useful_for_momentum_only,useful,true,yes,high,review_manually,,"Bearish context aligns, but 0-5 is late and choppy; EWO does not separate wave role well.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png
phase2_4_context,12,impulse_index_hk50_m30_major_impulse_003,impulse,major,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,context_partially_supports,partially_useful,useful_for_momentum_only,partially_useful,true,yes,medium,review_manually,,Looks more like correction after strong rise; EMAs turn late and later rebound weakens rule value.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png
phase2_4_context,13,partial_123_forex_audjpy_h1_intermediate_partial123_009,partial_123,intermediate,charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png,context_confirms,useful,useful_for_wave_role,useful,false,no,low,use_as_good_context_example,2,"Very clear bullish partial: wave 3 launches above EMAs, EWO rises, HTF H4 aligns.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png
phase2_4_context,14,partial_123_metals_xagusd_h1_intermediate_partial123_003,partial_123,intermediate,charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png,context_explains_ambiguity,useful,useful_for_wave_role,conflict_explains_case,true,no,low,use_as_ambiguous_context,,"Strong bearish 1-2-3 from top; local context confirms drop, HTF bullish frames it as violent correction.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png
phase2_4_context,15,partial_123_index_aus200_h1_intermediate_partial123_001,partial_123,intermediate,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,context_confirms,useful,useful_for_momentum_only,useful,false,no,low,use_as_good_context_example,,"Context supports early bullish partial, but EWO is more directional than wave-role specific.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png
phase2_4_context,16,partial_123_forex_audjpy_h1_intermediate_partial123_011,partial_123,intermediate,charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png,context_confirms,useful,useful_for_wave_role,useful,false,no,low,use_as_good_context_example,,Vertical bullish partial with bullish EMAs and positive EWO during acceleration.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png
phase2_4_context,17,partial_123_forex_audjpy_h1_minor_partial123_007,partial_123,minor,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,context_conflicts_but_useful,partially_useful,useful_for_wave_role,conflict_explains_case,true,yes,medium,review_manually,,Bullish 1-2-3 starts with bearish LTF alignment but HTF/EWO explain transition.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png
phase2_4_context,18,partial_123_metals_xagusd_h1_minor_partial123_002,partial_123,minor,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,context_partially_supports,partially_useful,useful_for_wave_role,partially_useful,true,yes,medium,review_manually,,"EWO/HTF support wave 3 spike, but EMAs lag and later fall prevents clean rule use.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png
phase2_4_context,19,partial_123_index_aus200_h1_minor_partial123_001,partial_123,minor,charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,context_partially_supports,partially_useful,useful_for_momentum_only,partially_useful,softens_confidence,yes,medium,use_as_ambiguous_context,,"EMAs and HTF support local bullish 1-2-3, but it is near exhaustion before a strong turn.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png
phase2_4_context,20,partial_123_forex_audjpy_h1_minor_partial123_013,partial_123,minor,charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png,context_confirms,useful,useful_for_wave_role,useful,no_change,no,low,use_as_good_context_example,1,"Excellent context example: 1-2-3 starts after base, breaks EMAs, EWO stays positive and HTF/LTF align.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png
phase2_4_context,21,partial_123_forex_audjpy_h1_major_partial123_007,partial_123,major,charts\partials\021_partial_123_forex_audjpy_h1_major_partial123_007.png,context_confirms,useful,useful_for_wave_role,useful,no_change,no,low,use_as_good_context_example,,Major bullish count captures broad impulse; EMAs align and EWO confirms strength.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\021_partial_123_forex_audjpy_h1_major_partial123_007.png
phase2_4_context,22,partial_123_metals_xagusd_h1_major_partial123_006,partial_123,major,charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png,context_explains_ambiguity,partially_useful,useful_for_wave_role,conflict_explains_case,clarifies_transition_case,yes,medium,use_as_ambiguous_context,,Good transition case: bullish 1-2-3 crosses from bearish EMAs and EWO improves.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png
phase2_4_context,23,partial_123_index_aus200_h1_major_partial123_002,partial_123,major,charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png,context_conflicts_but_useful,useful,useful_for_wave_role,conflict_explains_case,reframes_as_counter_htf_move,no,low,use_as_ambiguous_context,,Strong bearish 1-2-3 from previously bullish area; context frames it as reversal/correction.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png
phase2_4_context,24,partial_123_forex_eurusd_h1_major_partial123_002,partial_123,major,charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png,context_confirms,useful,useful_for_wave_role,useful,no_change,no,low,use_as_good_context_example,2,"Clean bearish example: price below EMAs, falling alignment, negative EWO and HTF aligned.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png
phase2_4_context,25,abc_forex_audjpy_h1_abc_009,abc,intermediate,charts\abc\025_abc_forex_audjpy_h1_abc_009.png,context_partially_supports,useful,useful_for_wave_role,useful,downgrades_to_cluttered_but_supported,yes,medium,use_as_ambiguous_context,,"Bullish context is good, but too many ABC paths overlap; context supports bias, not unique count.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\025_abc_forex_audjpy_h1_abc_009.png
phase2_4_context,26,abc_metals_xagusd_h1_abc_003,abc,intermediate,charts\abc\026_abc_metals_xagusd_h1_abc_003.png,context_conflicts_but_useful,useful,useful_for_wave_role,conflict_explains_case,reframes_as_counter_htf_move,yes,medium,use_as_ambiguous_context,,"Local bearish ABC is plausible, but HTF conflict and overlays force ambiguity.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\026_abc_metals_xagusd_h1_abc_003.png
phase2_4_context,27,abc_index_aus200_h1_abc_004,abc,intermediate,charts\abc\027_abc_index_aus200_h1_abc_004.png,context_conflicts_but_useful,useful,useful_for_wave_role,conflict_explains_case,needs_manual_count_selection,yes,high,review_manually,,"Bearish context after top is convincing, but several ABCs overlap; not rule-clean.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\027_abc_index_aus200_h1_abc_004.png
phase2_4_context,28,abc_forex_audjpy_h1_abc_011,abc,intermediate,charts\abc\028_abc_forex_audjpy_h1_abc_011.png,context_confirms,useful,useful_for_wave_role,useful,no_change,no,low,use_as_good_context_example,,"Defensible bullish ABC with EMAs turning bullish, positive EWO and HTF support.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\028_abc_forex_audjpy_h1_abc_011.png
phase2_4_context,29,abc_forex_audjpy_h1_abc_007,abc,minor,charts\abc\029_abc_forex_audjpy_h1_abc_007.png,context_explains_ambiguity,partially_useful,useful_for_momentum_only,conflict_explains_case,clarifies_transition_case,yes,medium,use_as_ambiguous_context,,Base/transition case; EMAs are not clean for minor ABC but EWO/HTF explain later bullish start.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\029_abc_forex_audjpy_h1_abc_007.png
phase2_4_context,30,abc_metals_xagusd_h1_abc_002,abc,minor,charts\abc\030_abc_metals_xagusd_h1_abc_002.png,context_partially_supports,partially_useful,useful_for_momentum_only,partially_useful,softens_confidence,yes,medium,use_as_ambiguous_context,,"Minor bullish ABC fits rebound, but later large fall and late EMA support reduce confidence.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\030_abc_metals_xagusd_h1_abc_002.png
phase2_4_context,31,abc_index_aus200_h1_abc_006,abc,minor,charts\abc\031_abc_index_aus200_h1_abc_006.png,context_explains_ambiguity,useful,useful_for_wave_role,conflict_explains_case,needs_manual_count_selection,yes,high,review_manually,,"Context explains bearish break, but overlapping minor ABCs make the count non-clean.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\031_abc_index_aus200_h1_abc_006.png
phase2_4_context,32,abc_forex_audjpy_h1_abc_013,abc,minor,charts\abc\032_abc_forex_audjpy_h1_abc_013.png,context_confirms,useful,useful_for_wave_role,useful,no_change,no,low,use_as_good_context_example,,Good minor bullish ABC context; some overlap remains but EMAs/EWO/HTF help.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\032_abc_forex_audjpy_h1_abc_013.png
phase2_4_context,33,abc_metals_xagusd_h1_abc_006,abc,major,charts\abc\033_abc_metals_xagusd_h1_abc_006.png,context_explains_ambiguity,partially_useful,useful_for_wave_role,conflict_explains_case,clarifies_transition_case,yes,medium,use_as_ambiguous_context,,"Major bullish ABC/recovery context; EMAs lag and overlays make it contextual, not normative.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\033_abc_metals_xagusd_h1_abc_006.png
phase2_4_context,34,abc_index_aus200_h1_abc_002,abc,major,charts\abc\034_abc_index_aus200_h1_abc_002.png,context_conflicts_but_useful,useful,useful_for_wave_role,conflict_explains_case,reframes_as_counter_htf_move,no,low,use_as_ambiguous_context,,Major bearish ABC from highs; EMAs/EWO confirm fall while HTF bullish frames conflict.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\034_abc_index_aus200_h1_abc_002.png
phase2_4_context,35,abc_forex_eurusd_h1_abc_002,abc,major,charts\abc\035_abc_forex_eurusd_h1_abc_002.png,context_confirms,useful,useful_for_wave_role,useful,no_change,no,low,use_as_good_context_example,3,"Good bearish aligned context: below EMAs, bearish alignment, negative EWO and bearish HTF.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\035_abc_forex_eurusd_h1_abc_002.png
phase2_4_context,36,abc_forex_gbpusd_h1_abc_003,abc,major,charts\abc\036_abc_forex_gbpusd_h1_abc_003.png,context_conflict_suspicious,useful,useful_for_momentum_only,conflict_suspicious,downgrades_to_countertrend_bounce,yes,high,use_as_negative_example,,ABC bullish is against bearish EMAs/HTF; EWO only confirms local bounce.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\abc\036_abc_forex_gbpusd_h1_abc_003.png
phase2_4_context,37,near_miss_forex_audjpy_h1_intermediate_impulse_011,near_miss,intermediate,charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,context_partially_supports,useful,useful_for_wave_role,useful,no_change,no,low,use_as_ambiguous_context,,Context supports bullish direction and wave 3 momentum but does not erase 4-1 overlap/truncated fifth.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png
phase2_4_context,38,near_miss_metals_xagusd_h1_intermediate_impulse_003,near_miss,intermediate,charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png,context_conflicts_but_useful,useful,useful_for_wave_role,conflict_explains_case,counter_htf_reframe,yes,medium,use_as_ambiguous_context,,"LTF bearish/EWO support the leg, but H4 bullish makes it counter-HTF correction.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png
phase2_4_context,39,near_miss_index_aus200_h1_intermediate_impulse_008,near_miss,intermediate,charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png,context_explains_ambiguity,useful,useful_for_wave_role,useful,no_change,no,low,use_as_good_context_example,3,Bearish context reinforces selloff; EWO marks wave 3 low and rebound explains failed fifth.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\039_near_miss_index_aus200_h1_intermediate_impulse_008.png
phase2_4_context,40,near_miss_forex_audjpy_h1_minor_impulse_007,near_miss,minor,charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png,context_explains_ambiguity,partially_useful,useful_for_momentum_only,conflict_explains_case,downgrade,yes,medium,use_as_ambiguous_context,,"Small bullish 0-5 is range/base inside LTF-HTF conflict, not rule-quality impulse.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\040_near_miss_forex_audjpy_h1_minor_impulse_007.png
phase2_4_context,41,near_miss_metals_xagusd_h1_minor_impulse_002,near_miss,minor,charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png,context_misleading,misleading,useful_for_wave_role,conflict_suspicious,downgrade,yes,high,use_as_negative_example,,EMA/HTF bullish context should not rescue deep wave 4 and failed wave 5; useful warning case.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\041_near_miss_metals_xagusd_h1_minor_impulse_002.png
phase2_4_context,42,near_miss_index_aus200_h1_minor_impulse_012,near_miss,minor,charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png,context_partially_supports,useful,useful_for_wave_role,useful,no_change,no,low,use_as_good_context_example,2,Bearish context and EWO wave 3 trough support the reading while preserving failed fifth warning.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\042_near_miss_index_aus200_h1_minor_impulse_012.png
phase2_4_context,43,near_miss_forex_audjpy_h1_major_impulse_007,near_miss,major,charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png,context_partially_supports,useful,useful_for_wave_role,useful,no_change,no,low,use_as_good_context_example,1,Best bullish near-miss context: EMAs/EWO/HTF support direction but do not erase truncated wave 5.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png
phase2_4_context,44,near_miss_metals_xagusd_h1_major_impulse_006,near_miss,major,charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png,context_explains_ambiguity,partially_useful,useful_for_wave_role,partially_useful,downgrade,yes,medium,use_as_ambiguous_context,,"EWO supports wave 3 high, but deep wave 4, lower-high wave 5 and later decline keep it ambiguous.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\044_near_miss_metals_xagusd_h1_major_impulse_006.png
phase2_4_context,45,near_miss_index_aus200_h1_major_impulse_006,near_miss,major,charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png,context_explains_ambiguity,partially_useful,useful_for_wave_role,useful,no_change,no,low,use_as_ambiguous_context,,"Bearish backdrop supports context, but EWO rebound into 4-5 highlights failed continuation.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\045_near_miss_index_aus200_h1_major_impulse_006.png
phase2_4_context,46,hard_invalid_forex_audjpy_h1_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\046_hard_invalid_forex_audjpy_h1_intermediate_impulse_001.png,context_conflicts_but_useful,partially_useful,useful_for_momentum_only,conflict_explains_case,keep_hard_invalid,yes,medium,use_as_negative_example,,"HTF bullish explains why candidate appears, but broken wave rules dominate.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\046_hard_invalid_forex_audjpy_h1_intermediate_impulse_001.png
phase2_4_context,47,hard_invalid_metals_xagusd_h1_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\047_hard_invalid_metals_xagusd_h1_intermediate_impulse_001.png,context_conflicts_but_useful,useful,useful_for_momentum_only,conflict_explains_case,keep_hard_invalid,no,low,use_as_negative_example,,"LTF/EWO show selloff, HTF bullish frames it countertrend, and wave 2 origin break is decisive.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\047_hard_invalid_metals_xagusd_h1_intermediate_impulse_001.png
phase2_4_context,48,hard_invalid_index_aus200_h1_intermediate_impulse_001,hard_invalid,intermediate,charts\invalidations\048_hard_invalid_index_aus200_h1_intermediate_impulse_001.png,context_misleading,misleading,useful_for_momentum_only,conflict_suspicious,downgrade,yes,high,use_as_negative_example,,Bullish EMA/HTF lag at a top can falsely support the candidate; EWO weakens before collapse.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\048_hard_invalid_index_aus200_h1_intermediate_impulse_001.png
phase2_4_context,49,hard_invalid_forex_audjpy_h1_minor_impulse_001,hard_invalid,minor,charts\invalidations\049_hard_invalid_forex_audjpy_h1_minor_impulse_001.png,context_misleading,partially_useful,useful_for_momentum_only,partially_useful,keep_hard_invalid,yes,high,use_as_negative_example,,"High context score may tempt acceptance, but wave rules are broken; EMAs/EWO describe later momentum only.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\049_hard_invalid_forex_audjpy_h1_minor_impulse_001.png
phase2_4_context,50,hard_invalid_metals_xagusd_h1_minor_impulse_001,hard_invalid,minor,charts\invalidations\050_hard_invalid_metals_xagusd_h1_minor_impulse_001.png,context_conflict_suspicious,misleading,useful_for_momentum_only,conflict_suspicious,keep_hard_invalid,yes,medium,use_as_negative_example,,EMA/H4 oppose bearish label; EWO final drop does not repair invalid wave structure.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\050_hard_invalid_metals_xagusd_h1_minor_impulse_001.png
phase2_4_context,51,hard_invalid_index_aus200_h1_minor_impulse_001,hard_invalid,minor,charts\invalidations\051_hard_invalid_index_aus200_h1_minor_impulse_001.png,context_misleading,misleading,useful_for_momentum_only,conflict_suspicious,downgrade,yes,high,use_as_negative_example,,Bullish EMAs/HTF align with invalid count while EWO weakens and price collapses.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\invalidations\051_hard_invalid_index_aus200_h1_minor_impulse_001.png
