candidate_id,structure_type,timeframe_policy,swing_degree,ewo_wave_role_label,ewo_role_support,ewo_role_reasons,ewo_role_penalty,guided_quality_bucket,chart_path
abc_index_aus200_h4_abc_005,invalid_or_negative,primary_h4_d1,minor,ewo_correction_context_not_leg_level,unclear,EWO available only as end-of-candidate context.; end_ewo_direction=positive; end_ewo_slope=52.2457; ABC correction lacks leg-level EWO thresholds in 2.5.0.,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\029_abc_index_aus200_h4_abc_005.png
abc_forex_audjpy_h4_abc_009,invalid_or_negative,primary_h4_d1,minor,ewo_correction_context_not_leg_level,contradicts,EWO available only as end-of-candidate context.; misleading; end_ewo_direction=positive; end_ewo_slope=-0.0297571; ABC correction lacks leg-level EWO thresholds in 2.5.0.,8,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\030_abc_forex_audjpy_h4_abc_009.png
abc_forex_eurjpy_h4_abc_004,invalid_or_negative,primary_h4_d1,minor,ewo_correction_context_not_leg_level,unclear,EWO available only as end-of-candidate context.; noisy; end_ewo_direction=positive; end_ewo_slope=0.485871; ABC correction lacks leg-level EWO thresholds in 2.5.0.,4,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\031_abc_forex_eurjpy_h4_abc_004.png
abc_forex_eurusd_h4_abc_002,invalid_or_negative,primary_h4_d1,minor,ewo_correction_context_not_leg_level,unclear,EWO available only as end-of-candidate context.; end_ewo_direction=positive; end_ewo_slope=6.32857e-05; ABC correction lacks leg-level EWO thresholds in 2.5.0.,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\032_abc_forex_eurusd_h4_abc_002.png
abc_forex_audjpy_h4_abc_003,invalid_or_negative,primary_h4_d1,major,ewo_correction_context_not_leg_level,unclear,EWO available only as end-of-candidate context.; end_ewo_direction=positive; end_ewo_slope=-0.109543; ABC correction lacks leg-level EWO thresholds in 2.5.0.,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\033_abc_forex_audjpy_h4_abc_003.png
abc_forex_audjpy_h4_abc_013,invalid_or_negative,primary_h4_d1,major,ewo_correction_context_not_leg_level,contradicts,EWO available only as end-of-candidate context.; misleading; end_ewo_direction=positive; end_ewo_slope=0.466243; ABC correction lacks leg-level EWO thresholds in 2.5.0.,8,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\034_abc_forex_audjpy_h4_abc_013.png
abc_forex_eurjpy_h4_abc_003,invalid_or_negative,primary_h4_d1,major,ewo_correction_context_not_leg_level,unclear,EWO available only as end-of-candidate context.; end_ewo_direction=negative; end_ewo_slope=-0.0564714; ABC correction lacks leg-level EWO thresholds in 2.5.0.,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\035_abc_forex_eurjpy_h4_abc_003.png
abc_forex_eurusd_h4_abc_003,invalid_or_negative,primary_h4_d1,major,ewo_correction_context_not_leg_level,unclear,EWO available only as end-of-candidate context.; end_ewo_direction=negative; end_ewo_slope=5.81429e-05; ABC correction lacks leg-level EWO thresholds in 2.5.0.,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\036_abc_forex_eurusd_h4_abc_003.png
near_miss_forex_audjpy_h4_intermediate_impulse_002,invalid_or_negative,primary_h4_d1,intermediate,ewo_contextual_proxy,unclear,EWO available only as end-of-candidate context.; end_ewo_direction=negative; end_ewo_slope=-0.0967857,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\037_near_miss_forex_audjpy_h4_intermediate_impulse_002.png
near_miss_metals_xagusd_h4_intermediate_impulse_003,invalid_or_negative,primary_h4_d1,intermediate,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=2.07409,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\038_near_miss_metals_xagusd_h4_intermediate_impulse_003.png
near_miss_index_aus200_h4_intermediate_impulse_009,invalid_or_negative,primary_h4_d1,intermediate,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=50.8114,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\039_near_miss_index_aus200_h4_intermediate_impulse_009.png
near_miss_forex_audjpy_h4_minor_impulse_002,invalid_or_negative,primary_h4_d1,minor,ewo_contextual_proxy,unclear,EWO available only as end-of-candidate context.; noisy; end_ewo_direction=negative; end_ewo_slope=0.171857,4,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\040_near_miss_forex_audjpy_h4_minor_impulse_002.png
near_miss_metals_xagusd_h4_minor_impulse_005,invalid_or_negative,primary_h4_d1,minor,ewo_contextual_proxy,unclear,EWO available only as end-of-candidate context.; end_ewo_direction=positive; end_ewo_slope=1.64956,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\041_near_miss_metals_xagusd_h4_minor_impulse_005.png
near_miss_index_aus200_h4_minor_impulse_005,invalid_or_negative,primary_h4_d1,minor,ewo_contextual_proxy,unclear,EWO available only as end-of-candidate context.; noisy; end_ewo_direction=negative; end_ewo_slope=7.85714,4,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\042_near_miss_index_aus200_h4_minor_impulse_005.png
near_miss_forex_audjpy_h4_major_impulse_005,invalid_or_negative,primary_h4_d1,major,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=0.115586,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\043_near_miss_forex_audjpy_h4_major_impulse_005.png
near_miss_metals_xagusd_h4_major_impulse_003,invalid_or_negative,primary_h4_d1,major,ewo_wave5_divergence_warning,partially_supports,Existing 2.4.2 audit marked possible wave-5 momentum warning.; end_ewo_direction=negative; end_ewo_slope=3.75787,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\044_near_miss_metals_xagusd_h4_major_impulse_003.png
near_miss_index_aus200_h4_major_impulse_009,invalid_or_negative,primary_h4_d1,major,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=30.39,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\045_near_miss_index_aus200_h4_major_impulse_009.png
hard_invalid_forex_audjpy_h4_intermediate_impulse_001,invalid_or_negative,primary_h4_d1,intermediate,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=-0.0297571,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\046_hard_invalid_forex_audjpy_h4_intermediate_impulse_001.png
hard_invalid_metals_xagusd_h4_intermediate_impulse_001,invalid_or_negative,primary_h4_d1,intermediate,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=1.57034,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\047_hard_invalid_metals_xagusd_h4_intermediate_impulse_001.png
hard_invalid_index_aus200_h4_intermediate_impulse_001,invalid_or_negative,primary_h4_d1,intermediate,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=52.2457,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\048_hard_invalid_index_aus200_h4_intermediate_impulse_001.png
hard_invalid_forex_audjpy_h4_minor_impulse_001,invalid_or_negative,primary_h4_d1,minor,ewo_contextual_proxy,unclear,EWO available only as end-of-candidate context.; noisy; end_ewo_direction=negative; end_ewo_slope=0.128843,4,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\049_hard_invalid_forex_audjpy_h4_minor_impulse_001.png
hard_invalid_metals_xagusd_h4_minor_impulse_002,invalid_or_negative,primary_h4_d1,minor,ewo_contextual_proxy,unclear,EWO available only as end-of-candidate context.; noisy; end_ewo_direction=positive; end_ewo_slope=0.0934429,4,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\050_hard_invalid_metals_xagusd_h4_minor_impulse_002.png
hard_invalid_index_aus200_h4_minor_impulse_001,invalid_or_negative,primary_h4_d1,minor,ewo_contextual_proxy,unclear,EWO available only as end-of-candidate context.; noisy; end_ewo_direction=negative; end_ewo_slope=14.4257,4,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\051_hard_invalid_index_aus200_h4_minor_impulse_001.png
hard_invalid_forex_audjpy_h4_major_impulse_001,invalid_or_negative,primary_h4_d1,major,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=-0.109543,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\052_hard_invalid_forex_audjpy_h4_major_impulse_001.png
hard_invalid_metals_xagusd_h4_major_impulse_001,invalid_or_negative,primary_h4_d1,major,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=-0.216686,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\053_hard_invalid_metals_xagusd_h4_major_impulse_001.png
hard_invalid_index_aus200_h4_major_impulse_001,invalid_or_negative,primary_h4_d1,major,ewo_contextual_proxy,partially_supports,EWO available only as end-of-candidate context.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=52.2457,0,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\054_hard_invalid_index_aus200_h4_major_impulse_001.png
impulse_forex_audjpy_h1_minor_impulse_013,impulse,auxiliary_h1_h4,minor,ewo_impulse_momentum_context,supports_wave_role,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_wave_role; end_ewo_direction=positive; end_ewo_slope=0.3727",0,high_quality_context,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\001_impulse_forex_audjpy_h1_minor_impulse_013.png
impulse_metals_xagusd_h1_minor_impulse_019,impulse,auxiliary_h1_h4,minor,ewo_impulse_momentum_context,unclear,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; noisy; end_ewo_direction=negative; end_ewo_slope=0.1805",4,exclude,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\002_impulse_metals_xagusd_h1_minor_impulse_019.png
