candidate_id,resolved_market_group,source_scope,symbol,timeframe,swing_degree,review_category,phase256_policy_bucket,phase259_candidate_bucket,phase259_bucket_change_vs_256,phase256_score,phase259_candidate_score,phase259_score_delta_vs_256,phase259_prominence_diagnostic,percentile_scope_used,robust_prominence_percentile,phase259_policy_reason,phase259_policy_warning,chart_path
near_miss_exp257_metals_xageurr_h4_minor_impulse_002,Metals,h4_d1,XAGEUR.r,H4,minor,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,8.0,8.0,window_distorted_low_prominence,symbol_timeframe_degree,0.7,"Prominence improves, but exclusion is retained because structure/context is not safe to rescue.",2.5.9 is a candidate policy only; it does not replace 2.5.6. Metals improvement remains diagnostic/watchlist until manual confirmation.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\041_near_miss_exp257_metals_xageurr_h4_minor_impulse_002.png
near_miss_exp257_metals_xageurr_h4_major_impulse_002,Metals,h4_d1,XAGEUR.r,H4,major,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,8.0,8.0,window_distorted_low_prominence,symbol_timeframe_degree,0.4,"Prominence improves, but exclusion is retained because structure/context is not safe to rescue.",2.5.9 is a candidate policy only; it does not replace 2.5.6. Metals improvement remains diagnostic/watchlist until manual confirmation.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\044_near_miss_exp257_metals_xageurr_h4_major_impulse_002.png
hard_invalid_exp257_metals_xageurr_h4_intermediate_impulse_001,Metals,h4_d1,XAGEUR.r,H4,intermediate,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,1.0,Candidate policy keeps 2.5.6-compatible baseline bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,
hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001,Metals,h4_d1,XAGEUR.r,H4,minor,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.7,Candidate policy keeps 2.5.6-compatible baseline bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\invalidations\050_hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001.png
hard_invalid_exp257_metals_xageurr_h4_major_impulse_001,Metals,h4_d1,XAGEUR.r,H4,major,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.8,Candidate policy keeps 2.5.6-compatible baseline bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\invalidations\053_hard_invalid_exp257_metals_xageurr_h4_major_impulse_001.png
impulse_exp252_metals_xagusd_h4_minor_impulse_004,Metals,h4_d1,XAGUSD.r,H4,minor,impulse,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,50.0,50.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,Metals,h4_d1,XAGUSD.r,H4,intermediate,impulse,visual_watchlist_low_prominence,candidate_visual_watchlist_low_prominence,unchanged,44.0,44.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png
impulse_exp252_metals_xagusd_h4_major_impulse_002,Metals,h4_d1,XAGUSD.r,H4,major,impulse,usable_provisional_structure,candidate_usable_provisional_structure,unchanged,70.0,70.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002,Metals,h4_d1,XAGUSD.r,H4,intermediate,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png
partial_123_exp252_metals_xagusd_h4_minor_partial123_002,Metals,h4_d1,XAGUSD.r,H4,minor,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png
partial_123_exp252_metals_xagusd_h4_major_partial123_002,Metals,h4_d1,XAGUSD.r,H4,major,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png
abc_exp252_metals_xagusd_h4_intermediate_abc_002,Metals,h4_d1,XAGUSD.r,H4,intermediate,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\026_abc_exp252_metals_xagusd_h4_intermediate_abc_002.png
abc_exp252_metals_xagusd_h4_minor_abc_004,Metals,h4_d1,XAGUSD.r,H4,minor,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\030_abc_exp252_metals_xagusd_h4_minor_abc_004.png
abc_exp252_metals_xagusd_h4_major_abc_002,Metals,h4_d1,XAGUSD.r,H4,major,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\034_abc_exp252_metals_xagusd_h4_major_abc_002.png
near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004,Metals,h4_d1,XAGUSD.r,H4,intermediate,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\038_near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004.png
near_miss_exp252_metals_xagusd_h4_minor_impulse_006,Metals,h4_d1,XAGUSD.r,H4,minor,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\041_near_miss_exp252_metals_xagusd_h4_minor_impulse_006.png
near_miss_exp252_metals_xagusd_h4_major_impulse_006,Metals,h4_d1,XAGUSD.r,H4,major,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\044_near_miss_exp252_metals_xagusd_h4_major_impulse_006.png
hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001,Metals,h4_d1,XAGUSD.r,H4,intermediate,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png
hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001,Metals,h4_d1,XAGUSD.r,H4,minor,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\050_hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001.png
hard_invalid_exp252_metals_xagusd_h4_major_impulse_001,Metals,h4_d1,XAGUSD.r,H4,major,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,insufficient_prominence_context,not_available,,No OHLC context available; candidate policy preserves 2.5.6-compatible bucket.,2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\053_hard_invalid_exp252_metals_xagusd_h4_major_impulse_001.png
impulse_aux252b_metals_xagusd_h1_minor_impulse_005,Metals,h1_h4,XAGUSD.r,H1,minor,impulse,auxiliary_low_prominence_substructure,candidate_auxiliary_low_prominence_substructure,unchanged,35.0,38.0,3.0,robust_prominence_confirmed,symbol_timeframe_degree,0.6,"Robust prominence confirms existing scale; no automatic bucket upgrade is required. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png
impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,Metals,h1_h4,XAGUSD.r,H1,intermediate,impulse,auxiliary_low_prominence_substructure,candidate_auxiliary_low_prominence_substructure,unchanged,45.0,37.0,-8.0,true_low_prominence,symbol_timeframe_degree,0.2,"Low prominence confirmed; no quality upgrade allowed. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_matches\006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png
impulse_aux252b_metals_xagusd_h1_major_impulse_025,Metals,h1_h4,XAGUSD.r,H1,major,impulse,auxiliary_substructure,candidate_auxiliary_substructure,unchanged,56.0,59.0,3.0,robust_prominence_confirmed,symbol_timeframe_degree,0.8,"Robust prominence confirms existing scale; no automatic bucket upgrade is required. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\010_impulse_aux252b_metals_xagusd_h1_major_impulse_025.png
partial_123_aux252b_metals_xagusd_h1_intermediate_partial123_001,Metals,h1_h4,XAGUSD.r,H1,intermediate,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.8,"Candidate policy keeps 2.5.6-compatible baseline bucket. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\014_partial_123_aux252b_metals_xagusd_h1_intermediate_partial123_001.png
partial_123_aux252b_metals_xagusd_h1_minor_partial123_001,Metals,h1_h4,XAGUSD.r,H1,minor,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.8,"Candidate policy keeps 2.5.6-compatible baseline bucket. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\018_partial_123_aux252b_metals_xagusd_h1_minor_partial123_001.png
partial_123_aux252b_metals_xagusd_h1_major_partial123_002,Metals,h1_h4,XAGUSD.r,H1,major,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.3,"Candidate policy keeps 2.5.6-compatible baseline bucket. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\022_partial_123_aux252b_metals_xagusd_h1_major_partial123_002.png
abc_aux252b_metals_xagusd_h1_intermediate_abc_003,Metals,h1_h4,XAGUSD.r,H1,intermediate,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.5,"Candidate policy keeps 2.5.6-compatible baseline bucket. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\026_abc_aux252b_metals_xagusd_h1_intermediate_abc_003.png
abc_aux252b_metals_xagusd_h1_minor_abc_005,Metals,h1_h4,XAGUSD.r,H1,minor,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.4,"Candidate policy keeps 2.5.6-compatible baseline bucket. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\030_abc_aux252b_metals_xagusd_h1_minor_abc_005.png
abc_aux252b_metals_xagusd_h1_major_abc_002,Metals,h1_h4,XAGUSD.r,H1,major,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,0.3,"Candidate policy keeps 2.5.6-compatible baseline bucket. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\034_abc_aux252b_metals_xagusd_h1_major_abc_002.png
near_miss_aux252b_metals_xagusd_h1_intermediate_impulse_003,Metals,h1_h4,XAGUSD.r,H1,intermediate,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,3.0,3.0,robust_prominence_confirmed,symbol_timeframe_degree,0.5,"Robust prominence confirms existing scale; no automatic bucket upgrade is required. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\038_near_miss_aux252b_metals_xagusd_h1_intermediate_impulse_003.png
near_miss_aux252b_metals_xagusd_h1_minor_impulse_012,Metals,h1_h4,XAGUSD.r,H1,minor,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,8.0,8.0,window_distorted_low_prominence,symbol_timeframe_degree,0.2,"Prominence improves, but exclusion is retained because structure/context is not safe to rescue. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6. Metals improvement remains diagnostic/watchlist until manual confirmation.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png
near_miss_aux252b_metals_xagusd_h1_major_impulse_002,Metals,h1_h4,XAGUSD.r,H1,major,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,8.0,8.0,window_distorted_low_prominence,symbol_timeframe_degree,0.6,"Prominence improves, but exclusion is retained because structure/context is not safe to rescue. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6. Metals improvement remains diagnostic/watchlist until manual confirmation.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\044_near_miss_aux252b_metals_xagusd_h1_major_impulse_002.png
hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001,Metals,h1_h4,XAGUSD.r,H1,intermediate,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,9.0,9.0,0.0,not_applicable,symbol_timeframe_degree,1.0,"Candidate policy keeps 2.5.6-compatible baseline bucket. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\047_hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001.png
hard_invalid_aux252b_metals_xagusd_h1_minor_impulse_001,Metals,h1_h4,XAGUSD.r,H1,minor,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,0.0,0.0,0.0,not_applicable,symbol_timeframe_degree,1.0,"Candidate policy keeps 2.5.6-compatible baseline bucket. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\050_hard_invalid_aux252b_metals_xagusd_h1_minor_impulse_001.png
hard_invalid_aux252b_metals_xagusd_h1_major_impulse_001,Metals,h1_h4,XAGUSD.r,H1,major,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,2.0,2.0,0.0,not_applicable,symbol_timeframe_degree,1.0,"Candidate policy keeps 2.5.6-compatible baseline bucket. H1/H4 remains auxiliary, not a primary base.",2.5.9 is a candidate policy only; it does not replace 2.5.6.,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\053_hard_invalid_aux252b_metals_xagusd_h1_major_impulse_001.png
